fileName,address
aquos_pocket_1,6d:86:5e:0a:19:69
aquos_pocket_2,
aquos_walk_1,
aquos_walk_2,
g7_pocket_1,
g7_pocket_2,
g7_walk_1,
g7_walk_2,
g8_pocket_1,
g8_pocket_2,
g8_walk_1,
g8_walk_2,
