AdvA,time,rssi
56:71:46:d0:9b:9e,48,-63
3e:37:b2:8c:9b:a0,48,-88
56:71:46:d0:9b:9e,48,-63
3e:d7:b2:8c:9b:a0,48,-88
3e:37:b2:8c:9b:a0,48,-89
56:71:46:d0:9b:9e,48,-69
1e:37:b2:8c:9b:a0,49,-88
56:71:46:d0:9b:9e,49,-69
3e:37:b2:8c:9b:a0,49,-89
56:71:46:d0:9b:9e,49,-63
3e:37:b2:8c:9b:a0,49,-88
56:71:46:d0:9b:9e,49,-63
3e:37:b2:8c:9b:a0,49,-88
56:71:46:d0:9b:9e,50,-65
56:71:46:d0:9b:9e,50,-63
56:71:46:d0:9b:9e,50,-63
3e:37:b2:8c:9b:a0,50,-88
56:71:46:d0:9b:9e,50,-63
3e:37:b2:8d:99:a0,51,-88
3e:37:b2:8c:9b:a0,51,-88
3e:37:b2:8c:9b:a0,51,-89
56:71:46:d0:9b:9e,52,-64
56:71:46:d0:9b:9e,52,-63
3e:37:b2:8c:9b:a0,52,-88
3e:37:b2:8c:9b:a0,53,-88
56:71:46:d0:9b:9e,53,-63
3e:37:b2:8c:91:a0,53,-88
56:71:46:d0:9b:9e,53,-63
3e:37:b2:8c:9b:a0,53,-88
3e:37:b2:8c:9b:a0,54,-88
56:71:46:d0:9b:9e,54,-63
3e:17:b2:8c:9b:a0,54,-89
56:71:46:d0:9b:9e,54,-63
3e:37:92:8c:99:a0,55,-89
3e:37:b2:8c:9b:a0,55,-88
56:71:46:d0:9b:9e,56,-63
56:71:46:d0:9b:9e,56,-63
56:71:46:d0:9b:9e,56,-63
3e:17:b2:8c:9b:a0,56,-88
56:71:46:d0:9b:9e,56,-65
56:71:46:d0:9b:9e,58,-63
3e:37:b2:8c:9b:a0,58,-88
56:71:46:d0:9b:9e,59,-70
56:71:46:d0:9b:9e,59,-66
3e:37:b2:8c:9b:a0,59,-88
56:71:46:d0:9b:9e,59,-64
56:71:46:d0:9b:9e,60,-64
