AdvA,time,rssi
76:b9:52:1f:27:fa,57,-87
76:b9:52:1f:27:fa,57,-85
2f:11:d1:bf:33:8c,58,-89
76:b9:52:1f:27:fa,58,-83
76:b9:52:1f:27:fa,58,-85
2f:11:d1:bf:33:8c,58,-88
2f:11:d1:bf:33:8c,59,-89
76:b9:52:1f:27:fa,59,-83
76:b9:52:1f:27:fa,60,-87
2f:11:d1:bf:33:8c,60,-90
2f:11:d1:bf:23:8c,60,-89
76:b9:52:1f:27:fa,60,-85
3f:11:d0:bf:33:8c,61,-89
76:b9:52:1f:27:fa,61,-81
76:b9:52:1f:27:fa,62,-83
76:b9:52:1f:27:fa,62,-87
76:b9:52:1f:27:fa,63,-84
76:b9:52:1f:27:fa,63,-84
76:b9:52:1f:27:fa,63,-85
2f:10:d1:bc:b3:1c,63,-89
76:b9:52:1f:27:fa,63,-84
2f:11:d1:bf:33:8c,64,-91
3f:11:91:bf:33:8c,64,-90
76:b9:52:1f:27:fa,64,-81
76:b9:52:1f:27:fa,65,-83
af:11:d1:bf:31:8c,66,-89
76:b9:52:1f:27:fa,66,-83
2f:11:d1:bf:33:8c,66,-91
2f:11:d1:bf:b3:8c,66,-90
76:b9:52:1f:27:fa,67,-86
2f:11:d1:bf:33:8c,67,-88
76:b9:52:1f:27:fa,67,-81
76:b9:52:1f:27:fa,67,-80
2f:11:d1:bf:33:8c,67,-89
2f:11:d8:bf:23:8c,68,-89
76:b9:52:1f:27:fa,68,-82
2f:11:d1:bf:33:9c,68,-89
76:b9:52:1f:27:fa,68,-82
2f:11:d1:bf:33:8c,69,-88
2f:11:d1:bf:33:8c,69,-89
2f:11:d9:bf:33:8c,69,-89
76:b9:52:1f:27:fa,69,-82
76:b9:52:1f:27:fa,69,-84
76:b9:52:1f:27:fa,69,-87
2f:11:d1:bf:23:8c,70,-89
76:b9:52:1f:27:fa,70,-87
2f:11:d1:bf:33:8c,70,-90
76:b9:52:1f:27:fa,70,-87
2f:15:d1:bf:31:8c,70,-89
76:b9:52:1f:27:fa,71,-87
2f:11:d1:bf:33:8c,71,-89
76:b9:52:1f:27:fa,71,-83
2f:11:d1:bf:33:8c,71,-89
76:b9:52:1f:27:fa,71,-87
76:b9:52:1f:27:fa,73,-85
2f:11:51:bf:33:8c,73,-89
2f:11:d1:bf:33:8c,73,-88
2f:11:d1:bf:31:8c,73,-89
2f:11:d1:bf:33:8c,73,-88
76:b9:52:1f:27:fa,73,-84
2f:11:d1:bf:31:8c,74,-89
2f:11:d1:bf:33:8c,74,-89
76:b9:52:1f:27:fa,74,-87
76:b9:52:1f:27:fa,74,-88
2f:11:d9:bf:31:8c,75,-89
76:b9:52:1f:27:fa,75,-87
76:b9:52:1f:27:fa,75,-87
2f:11:d0:bf:33:8c,75,-88
76:b9:52:1f:27:fa,76,-86
2f:11:d1:bf:33:8c,76,-88
76:b9:52:1f:27:fa,76,-85
2f:11:d1:bf:33:8c,77,-88
2f:11:d1:bf:33:8c,77,-88
76:b9:52:1f:27:fa,77,-83
2f:11:d1:bf:33:8c,77,-89
76:b9:52:1f:27:fa,78,-81
76:b9:52:1f:27:fa,78,-83
76:b9:52:1f:27:fa,78,-83
76:b9:52:1f:27:fa,78,-83
37:01:d1:bf:23:8c,78,-89
76:b9:52:1f:27:fa,79,-83
76:b9:52:1f:27:fa,79,-88
76:b9:52:1f:27:fa,79,-88
2f:11:d1:bf:33:8c,79,-88
2f:11:51:bf:23:8e,79,-89
76:b9:52:1f:27:fa,80,-85
76:b9:52:1f:27:fa,80,-86
2f:11:d1:bf:33:8c,80,-89
76:b9:52:1f:27:fa,80,-85
2f:11:d1:bf:33:8c,80,-89
2f:11:d1:bf:31:8c,81,-89
2f:11:d1:bf:33:8c,81,-89
76:b9:52:1f:27:fa,81,-87
76:b9:52:1f:27:fa,82,-81
76:b9:52:1f:27:fa,82,-81
2f:11:d0:bf:33:8c,82,-88
76:b9:52:1f:27:fa,82,-83
76:b9:52:1f:27:fa,83,-83
2f:11:d1:bf:33:8e,83,-88
76:b9:52:1f:27:fa,83,-87
76:b9:52:1f:27:fa,83,-86
76:b9:52:1f:27:fa,83,-86
2f:11:d1:bf:33:0c,83,-88
76:b9:52:1f:27:fa,84,-87
2f:11:d1:bf:33:8c,84,-89
76:b9:52:1f:27:fa,84,-85
2f:11:d1:bf:33:8c,84,-89
2f:11:d1:bf:33:8c,85,-88
2f:11:d1:af:33:8c,85,-88
76:b9:52:1f:27:fa,86,-84
76:b9:52:1f:27:fa,86,-87
2f:11:d1:bf:33:8c,87,-89
76:b9:52:1f:27:fa,87,-88
2f:11:d1:bf:33:8c,87,-89
2f:11:d1:bf:33:8c,88,-88
76:b9:52:1f:27:fa,88,-88
76:b9:52:1f:27:fa,88,-87
27:11:d1:bf:31:8e,88,-89
2f:11:d1:bf:33:8c,89,-89
2f:11:d1:bf:b3:8c,89,-89
2f:11:d0:bf:33:cc,89,-90
2f:11:d1:bf:3b:8c,90,-89
76:b9:52:1f:27:fa,90,-82
76:b9:52:1f:27:fa,90,-84
2f:51:d1:bf:31:8e,90,-89
76:b9:52:1f:27:fa,91,-87
76:b9:52:1f:27:fa,91,-84
2f:11:d1:bf:33:8c,92,-90
2f:11:d1:bf:33:8c,92,-89
76:b9:52:1f:27:fa,92,-87
76:b9:52:1f:27:fa,93,-87
2f:11:d1:bf:33:8c,93,-88
76:b9:52:1f:27:fa,93,-87
2f:11:d1:bf:33:8c,93,-88
76:b9:52:1f:27:fa,93,-86
76:b9:52:1f:27:fa,93,-87
2f:11:d1:bf:33:8c,94,-88
76:b9:52:1f:27:fa,94,-87
76:b9:52:1f:27:fa,94,-87
76:b9:52:1f:27:fa,95,-87
2f:11:d1:bf:33:8c,95,-89
76:b9:52:1f:27:fa,95,-87
2f:51:d1:bf:33:8c,95,-89
76:b9:52:1f:27:fa,95,-88
76:b9:52:1f:27:fa,95,-87
76:b9:52:1f:27:fa,96,-88
2f:11:d1:bf:33:8c,96,-88
76:b9:52:1f:27:fa,97,-88
76:b9:52:1f:27:fa,97,-87
2f:11:d1:bf:33:8c,97,-88
2f:11:d9:bf:73:8c,98,-89
2f:11:d1:bf:31:8c,98,-90
76:b9:52:1f:27:fa,98,-83
76:b9:52:1f:27:fa,99,-87
76:b9:52:1f:27:fa,99,-87
2f:11:d1:bf:23:0c,100,-89
76:b9:52:1f:27:fa,100,-87
76:b9:52:1f:27:fa,100,-87
2f:11:d1:bf:33:9c,100,-89
76:b9:52:1f:27:fa,101,-87
76:b9:52:1f:27:fa,101,-87
76:b9:52:1f:27:fa,101,-85
2f:11:d1:bf:33:8c,101,-89
2f:11:d1:bf:21:8c,102,-88
2f:11:d1:bf:31:8c,102,-89
2f:11:d1:bf:33:8c,102,-89
2f:11:d1:bf:33:8c,103,-89
76:b9:52:1f:27:fa,103,-87
76:b9:52:1f:27:fa,103,-87
76:b9:52:1f:27:fa,104,-88
2f:17:d1:bf:33:8c,104,-88
2f:11:d1:ff:33:8c,104,-89
76:b9:52:1f:27:fa,104,-87
76:b9:52:1f:27:fa,105,-88
76:b9:52:1f:27:fa,105,-87
76:b9:52:1f:27:fa,106,-88
76:b9:52:1f:27:fa,106,-84
76:b9:52:1f:27:fa,107,-88
76:b9:52:1f:27:fa,107,-87
2f:11:d1:bf:33:8c,107,-89
2f:11:d1:bf:33:0c,108,-89
2f:11:d1:bf:33:8c,108,-89
76:b9:52:1f:27:fa,108,-86
2f:11:d1:bf:b3:8c,108,-89
2f:11:d1:bf:33:8c,109,-89
2f:11:d1:bf:33:8c,109,-89
76:b9:52:1f:27:fa,109,-87
2f:11:d1:bf:33:8e,109,-89
2f:11:d1:bf:33:8c,110,-89
2f:11:d1:bf:33:8c,110,-90
76:b9:52:1f:27:fa,110,-86
76:b9:52:1f:27:fa,111,-87
76:b9:52:1f:27:fa,111,-87
2f:11:d1:bf:a1:8c,112,-89
76:b9:52:1f:27:fa,112,-87
2f:11:d1:bf:33:8c,112,-89
76:b9:52:1f:27:fa,112,-87
2f:01:d1:bf:31:8c,112,-89
76:b9:52:1f:27:fa,113,-87
2f:11:d1:bf:33:8c,113,-89
76:b9:52:1f:27:fa,113,-87
76:b9:52:1f:27:fa,113,-85
2f:11:d1:bb:33:8c,113,-89
76:b9:52:1f:27:fa,114,-87
2f:11:d0:bf:33:8c,114,-89
76:b9:52:1f:27:fa,115,-87
76:b9:52:1f:27:fa,115,-86
2f:11:d1:bf:31:8c,115,-88
76:b9:52:1f:27:fa,116,-85
2f:11:d0:b3:b3:8c,116,-88
2f:11:d1:bf:33:8c,117,-89
76:b9:52:1f:27:fa,117,-88
76:99:52:1f:27:fa,117,-87
2f:11:d1:bf:33:8c,117,-89
76:b9:52:1f:27:fa,117,-87
3f:11:d1:ff:33:8c,118,-88
76:b9:52:1f:27:fa,118,-86
3f:11:d1:bb:03:8c,119,-100
76:b9:52:1f:27:fa,119,-87
3f:11:d1:bf:23:8c,119,-88
76:b9:52:1f:27:fa,119,-88
76:b9:52:1f:27:fa,119,-86
76:b9:52:1f:27:fa,120,-86
2f:11:d1:bf:21:8c,120,-88
2f:11:d1:bf:23:8c,120,-88
2e:11:d1:bf:31:8c,120,-99
2f:11:d1:bf:33:8c,121,-88
76:b9:52:1f:27:fa,121,-87
76:b9:52:1f:27:fa,121,-87
2f:11:d1:bf:33:8c,122,-88
2f:11:d1:bf:21:8c,122,-88
ae:11:d1:bf:33:8c,122,-89
2f:11:d1:bf:33:8c,123,-89
76:b9:52:1f:27:fa,123,-83
76:b9:52:1f:27:fa,123,-87
76:b9:52:1f:27:fa,123,-87
76:b9:52:1f:27:fa,123,-88
2f:11:d1:be:33:8c,123,-88
76:b9:52:1f:27:fa,124,-86
2f:11:d1:bf:33:84,124,-88
76:b9:52:1f:27:fa,124,-87
2f:11:d1:bf:33:8c,124,-88
3f:91:d0:bf:03:8c,125,-89
76:b9:52:1f:27:fa,125,-87
76:b9:52:1f:27:fa,125,-87
2f:11:d1:bf:33:8c,126,-89
76:b9:52:1f:27:fa,127,-87
76:b9:52:1f:27:fa,127,-87
76:b9:52:1f:27:fa,128,-87
2f:11:d9:bf:33:8c,129,-89
76:b9:52:1f:27:fa,129,-87
76:b9:52:1f:27:fa,129,-87
2f:11:d1:bf:31:8c,130,-89
76:b9:52:1f:27:fa,130,-87
76:b9:52:1f:27:fa,131,-87
76:b9:52:1f:27:fa,131,-87
76:b9:52:1f:27:fa,131,-88
2f:11:d1:bf:31:8c,131,-89
76:b9:52:1f:27:fa,131,-86
2f:11:d1:bf:31:8c,132,-100
76:b9:52:1f:27:fa,132,-87
2f:11:d0:bf:33:8c,132,-88
76:b9:52:1f:27:fa,132,-87
76:b9:52:1f:27:fa,133,-87
2f:11:d1:9f:33:8c,133,-88
76:b9:52:1f:27:fa,133,-87
2f:11:d1:bd:33:8c,133,-88
