AdvA,time,rssi
51:04:38:7c:c3:31,48,-77
60:92:f5:37:75:f0,49,-82
51:04:38:7c:c3:31,49,-77
60:92:f5:37:75:f0,49,-82
51:04:38:7c:c3:31,49,-75
51:04:38:7c:c3:31,49,-76
60:92:f5:37:75:f0,49,-81
60:92:f5:37:75:f0,50,-79
51:04:38:7c:c3:31,50,-76
60:92:f5:37:75:f0,50,-87
51:04:38:7c:c3:31,50,-77
09:2a:74:25:86:d5,50,-88
51:04:38:7c:c3:31,50,-77
09:2a:74:25:86:d5,50,-88
51:04:38:7c:c3:31,51,-76
c5:e7:2a:a9:68:e3,51,-92
09:2a:74:25:86:d5,51,-87
09:2a:74:25:86:d5,51,-89
60:92:f5:37:75:f0,51,-77
51:04:38:7c:c3:31,51,-76
09:2a:74:25:86:d5,51,-88
51:04:38:7c:c3:31,51,-76
51:04:38:7c:c3:31,52,-80
09:2a:74:25:86:d5,52,-87
60:92:f5:37:75:f0,52,-79
60:92:f5:37:75:f0,52,-80
51:04:38:7c:c3:31,52,-79
51:04:38:7c:c3:31,53,-78
09:2a:74:25:86:d5,53,-87
60:92:f5:37:75:f0,53,-76
51:04:38:7c:c3:31,53,-79
60:92:f5:37:75:f0,53,-75
51:04:38:7c:c3:31,53,-79
09:2a:74:25:86:d5,53,-88
60:92:f5:37:75:f0,53,-79
51:04:38:7c:c3:31,53,-76
09:2a:74:25:86:d5,53,-87
51:04:38:7c:c3:31,54,-76
09:2a:74:25:86:d5,54,-88
51:04:38:7c:c3:31,54,-76
09:2a:70:05:86:d5,54,-87
09:2a:74:25:86:d5,55,-87
60:92:f5:37:75:f0,55,-77
51:04:38:7c:c3:31,55,-77
09:2a:74:a5:82:d5,55,-89
60:92:f5:37:75:f0,55,-77
51:04:38:7c:c3:31,55,-77
09:2a:74:25:86:d5,55,-88
09:2a:74:25:86:d5,56,-87
60:92:f5:37:75:f0,56,-76
51:04:38:7c:c3:31,56,-78
60:92:f5:37:75:f0,56,-76
51:04:38:7c:c3:31,56,-78
09:2a:74:25:86:d5,56,-87
60:92:f5:37:75:f0,57,-76
51:04:38:7c:c3:31,57,-79
60:92:f5:37:75:f0,57,-76
51:04:38:7c:c3:31,57,-78
09:2a:74:25:86:d5,57,-87
09:2a:74:25:86:d5,57,-88
60:92:f5:37:75:f0,57,-76
51:04:38:7c:c3:31,57,-77
09:2a:54:25:86:d5,58,-88
60:92:f5:37:75:f0,58,-78
09:2a:74:25:86:d5,58,-88
60:92:f5:37:75:f0,59,-77
60:92:f5:37:75:f0,59,-77
60:92:f5:37:75:f0,59,-77
09:2a:74:25:86:d5,59,-88
51:04:38:7c:c3:31,59,-79
0a:a7:6a:a9:68:f3,60,-91
51:04:38:7c:c3:31,60,-77
60:92:f5:37:75:f0,60,-83
60:92:f5:37:75:f0,61,-76
51:04:38:7c:c3:31,61,-77
09:2a:74:25:86:d5,61,-88
51:04:38:7c:c3:31,61,-77
ca:e7:6a:2d:68:e7,61,-90
60:92:f5:37:75:f0,61,-77
51:04:38:7c:c3:31,61,-77
09:2a:74:25:86:d5,62,-88
51:04:38:7c:c3:31,62,-77
09:2a:74:25:86:d5,62,-88
60:92:f5:37:75:f0,62,-77
51:04:38:7c:c3:31,62,-77
09:2a:74:25:86:d5,62,-88
60:92:f5:37:75:f0,62,-77
0a:e7:6a:b3:68:e3,63,-92
51:04:38:7c:c3:31,63,-77
09:2a:74:25:86:d5,63,-88
51:04:38:7c:c3:31,63,-77
09:2a:74:25:86:d5,63,-87
4a:e7:6a:a8:68:e3,63,-91
09:2a:74:a5:86:d5,63,-87
51:04:38:7c:c3:31,63,-77
51:04:38:7c:c3:31,64,-77
60:92:f5:37:75:f0,65,-80
51:04:38:7c:c3:31,65,-77
60:92:f5:37:75:f0,65,-77
51:04:38:7c:c3:31,65,-77
51:04:38:7c:c3:31,65,-77
09:2a:74:25:86:d5,66,-87
51:04:38:7c:c3:31,66,-78
09:2a:74:25:86:d5,66,-88
0a:e7:6a:a9:28:e3,66,-92
51:04:38:7c:c3:31,66,-77
09:2a:54:25:86:d5,66,-88
60:92:f5:37:75:f0,67,-77
0a:e7:6a:a9:61:e7,67,-91
60:92:f5:37:75:f0,67,-77
51:04:38:7c:c3:31,67,-77
60:92:f5:37:75:f0,67,-83
51:04:38:7c:c3:31,67,-77
51:04:38:7c:c3:31,67,-77
09:2a:74:25:86:95,67,-87
51:04:38:7c:c3:31,68,-77
51:04:38:7c:c3:31,68,-77
0a:e1:6b:a9:68:e7,68,-101
60:92:f5:37:75:f0,68,-77
51:04:38:7c:c3:31,69,-77
60:92:f5:37:75:f0,69,-75
60:92:f5:37:75:f0,69,-77
09:2a:74:25:86:d5,69,-87
60:92:f5:37:75:f0,69,-77
09:2a:74:25:86:d5,69,-86
51:04:38:7c:c3:31,69,-79
60:92:f5:37:75:f0,69,-77
51:04:38:7c:c3:31,69,-77
09:2a:74:25:86:d5,70,-89
60:92:f5:37:75:f0,70,-77
51:04:38:7c:c3:31,70,-77
09:2a:74:a5:86:d5,70,-88
60:92:f5:37:75:f0,70,-79
51:04:38:7c:c3:31,70,-77
51:04:38:7c:c3:31,71,-78
60:92:f5:37:75:f0,71,-77
09:2a:74:25:86:d5,71,-87
60:92:f5:37:75:f0,71,-77
51:04:38:7c:c3:31,71,-77
51:04:38:7c:c3:31,71,-77
09:2a:74:25:86:d5,72,-87
51:04:38:7c:c3:31,72,-77
09:2a:74:25:86:d5,72,-88
51:04:38:7c:c3:31,72,-77
60:92:f5:37:75:f0,73,-76
51:04:38:7c:c3:31,73,-77
51:04:38:7c:c3:31,73,-78
60:92:f5:37:75:f0,73,-77
09:2a:74:25:86:d5,73,-89
51:04:38:7c:c3:31,73,-77
51:04:38:7c:c3:31,74,-77
09:2a:74:25:86:d5,74,-87
60:92:f5:37:75:f0,74,-83
09:2a:74:25:86:d5,74,-90
60:92:f5:37:75:f0,74,-79
09:2a:74:25:86:d5,74,-88
60:92:f5:37:75:f0,75,-77
09:2a:74:25:86:d5,75,-87
51:04:38:7c:c3:31,75,-77
60:92:f5:37:75:f0,75,-77
60:92:f5:37:75:f0,75,-77
51:04:38:7c:c3:31,75,-79
60:92:f5:37:75:f0,75,-83
51:04:38:7c:c3:31,75,-77
09:aa:74:25:86:d5,76,-87
51:04:38:7c:c3:31,76,-77
09:2a:74:25:86:d5,76,-87
60:92:f5:37:75:f0,76,-75
51:04:38:7c:c3:31,76,-80
08:e7:6a:a9:58:e7,76,-91
60:92:f5:37:75:f0,77,-75
51:04:38:7c:c3:31,77,-77
09:2a:74:25:86:d5,77,-88
51:04:38:7c:c3:31,77,-77
60:92:f5:37:75:f0,77,-77
51:04:38:7c:c3:31,78,-79
51:04:38:7c:c3:31,78,-77
09:2a:74:25:86:d5,78,-88
60:92:f5:37:75:f0,78,-77
51:04:38:7c:c3:31,78,-77
09:2a:74:25:86:d5,78,-86
60:92:f5:37:75:f0,78,-77
0a:e7:60:ab:68:e3,78,-91
09:2a:74:25:86:d5,78,-86
60:92:f5:37:75:f0,79,-77
51:04:38:7c:c3:31,79,-77
51:04:38:7c:c3:31,79,-77
60:92:f5:37:75:f0,79,-77
2a:e7:2a:ed:68:e3,80,-91
51:04:38:7c:c3:31,80,-77
09:2a:74:25:86:d5,80,-89
51:04:38:7c:c3:31,80,-79
09:2a:74:25:86:d5,80,-88
60:92:f5:37:75:f0,81,-77
09:2a:74:25:86:d5,81,-88
60:92:f5:37:75:f0,81,-77
09:2a:74:21:86:d5,81,-87
51:04:38:7c:c3:31,81,-77
60:92:f5:37:75:f0,81,-77
09:2a:74:25:86:d5,81,-88
09:2a:74:25:86:d5,81,-88
60:92:f5:37:75:f0,82,-83
09:2a:74:25:86:d5,82,-88
51:04:38:7c:c3:31,82,-77
51:04:38:7c:c3:31,82,-77
60:92:f5:37:75:f0,82,-77
09:2a:74:25:86:d5,82,-87
51:04:38:7c:c3:31,82,-79
4a:e7:2a:91:60:ef,82,-93
51:04:38:7c:c3:31,83,-77
60:92:f5:37:75:f0,83,-77
09:2a:74:25:86:d5,83,-87
51:04:38:7c:c3:31,83,-78
51:04:38:7c:c3:31,83,-77
09:2a:74:25:86:d5,83,-87
60:92:f5:37:75:f0,83,-77
51:04:38:7c:c3:31,84,-77
51:04:38:7c:c3:31,84,-77
49:aa:74:25:86:d5,84,-87
51:04:38:7c:c3:31,84,-83
09:2a:74:25:86:d5,85,-99
60:92:f5:37:75:f0,85,-75
51:04:38:7c:c3:31,85,-79
60:92:f5:37:75:f0,85,-83
60:92:f5:37:75:f0,86,-83
51:04:38:7c:c3:31,86,-77
09:2a:74:a5:b6:d5,86,-88
60:92:f5:37:75:f0,86,-77
60:92:f5:37:75:f0,86,-77
51:04:38:7c:c3:31,86,-79
09:2a:74:25:86:d5,86,-88
09:2a:74:25:86:d5,87,-87
60:92:f5:37:75:f0,87,-77
09:2a:74:25:86:d5,87,-90
51:04:38:7c:c3:31,87,-77
60:92:f5:37:75:f0,87,-77
09:2a:54:25:86:d5,87,-90
51:04:38:7c:c3:31,87,-77
51:04:38:7c:c3:31,88,-77
60:92:f5:37:75:f0,88,-77
09:2a:74:25:86:d5,88,-87
09:2a:74:25:86:d5,88,-89
51:04:38:7c:c3:31,88,-84
09:2a:74:25:86:d5,89,-88
09:2a:74:25:86:d5,89,-88
60:92:f5:37:75:f0,89,-75
51:04:38:7c:c3:31,89,-77
60:92:f5:37:75:f0,89,-79
09:2a:74:25:86:d5,89,-88
60:92:f5:37:75:f0,89,-79
51:04:38:7c:c3:31,90,-77
60:92:f5:37:75:f0,90,-77
51:04:38:7c:c3:31,90,-77
60:92:f5:37:75:f0,90,-83
49:2a:74:2d:86:d5,90,-88
51:04:38:7c:c3:31,90,-77
51:04:38:7c:c3:31,90,-77
60:92:f5:37:75:f0,91,-77
09:2a:74:25:86:d5,91,-87
51:04:38:7c:c3:31,91,-78
09:2a:74:25:86:d5,91,-88
51:04:38:7c:c3:31,91,-78
09:2a:74:25:86:d5,91,-87
60:92:f5:37:75:f0,91,-76
51:04:38:7c:c3:31,92,-78
60:92:f5:37:75:f0,92,-75
09:2a:74:25:86:d5,92,-89
60:92:f5:37:75:f0,92,-77
09:2a:74:25:86:d5,92,-88
51:04:38:7c:c3:31,92,-78
09:2a:74:25:86:d5,92,-88
09:2a:74:25:86:d5,93,-88
51:04:38:7c:c3:31,93,-80
4a:a7:7a:a9:60:e3,93,-92
