AdvA,time,rssi
4a:23:2e:7a:ac:08,47,-88
4a:23:2e:7a:ac:08,48,-87
6f:27:39:4f:64:1d,48,-78
4a:23:2e:7a:ac:08,48,-88
4a:23:2e:7a:ac:08,48,-87
6f:27:39:4f:64:1d,49,-78
6f:27:39:4f:64:1d,49,-79
6f:27:39:4f:64:1d,50,-80
4a:23:2e:7a:ac:08,50,-87
6f:27:39:4f:64:1d,50,-78
4a:23:2e:7a:ac:08,50,-86
4a:23:2e:7a:ac:08,51,-86
6f:27:39:4f:64:1d,51,-78
4a:23:2e:7a:ac:08,51,-83
6f:27:39:4f:64:1d,51,-74
4a:23:2e:7a:ac:08,52,-87
6f:27:39:4f:64:1d,52,-79
4a:23:2e:7a:ac:08,52,-88
4a:23:2e:7a:ac:08,52,-86
6f:27:39:4f:64:1d,53,-74
6f:27:39:4f:64:1d,54,-74
6f:27:39:4f:64:1d,54,-73
4a:23:2e:7a:ac:08,54,-86
4a:21:2a:7a:2c:08,55,-90
6f:27:39:4f:64:1d,55,-72
4a:23:2e:7a:ac:08,55,-88
6f:27:39:4f:64:1d,55,-72
6f:27:39:4f:64:1d,56,-71
4a:23:2e:7a:ac:08,56,-87
6f:27:39:4f:64:1d,56,-68
4a:23:2e:7a:ac:08,56,-86
6f:27:39:4f:64:1d,56,-72
4a:23:2e:7a:ac:08,56,-75
4a:23:2e:7a:ac:08,56,-86
4a:23:2e:7a:ac:08,57,-76
6f:27:39:4f:64:1d,57,-75
4a:23:2e:7a:ac:08,58,-70
4a:23:2e:7a:ac:08,58,-80
6f:27:39:4f:64:1d,58,-78
6f:27:39:4f:64:1d,58,-72
4a:23:2e:7a:ac:08,58,-78
4a:23:2e:7a:ac:08,58,-82
4a:23:2e:7a:ac:08,59,-87
4a:23:2e:7a:ac:08,59,-83
6f:27:39:4f:64:1d,59,-74
6f:27:39:4f:64:1d,59,-76
4a:23:2e:7a:ac:08,59,-87
4a:23:2e:7a:ac:08,60,-87
4a:23:64:72:ac:88,60,-89
6f:27:39:4f:64:1d,60,-72
4a:23:2e:7a:ac:08,60,-84
6f:27:39:4f:64:1d,60,-80
4a:23:2e:7a:ac:08,60,-83
4a:23:2e:7a:ac:08,61,-82
4a:23:2e:7a:ac:08,61,-82
6f:27:39:4f:64:1d,61,-74
4a:23:2e:7a:ac:08,61,-82
4a:23:2e:7a:ac:08,62,-82
4a:23:2e:7a:ac:08,62,-84
6f:27:39:4f:64:1d,62,-80
4a:23:2e:7a:ac:08,62,-86
4a:23:2e:7a:ac:08,62,-83
4a:23:2e:7a:ac:08,63,-82
6f:27:39:4f:64:1d,64,-74
4a:23:2e:7a:ac:08,64,-83
6f:27:39:4f:64:1d,64,-80
4a:23:2e:7a:ac:08,64,-82
4a:23:2e:7a:ac:08,64,-86
6f:27:39:4f:64:1d,64,-73
4a:23:2e:7a:ac:08,64,-80
4a:23:2e:7a:ac:08,65,-83
6f:27:39:4f:64:1d,65,-70
4a:23:2e:7a:ac:08,65,-83
6f:27:39:4f:64:1d,66,-69
4a:23:2e:7a:ac:08,66,-78
4a:23:2e:7a:ac:08,66,-81
6f:27:39:4f:64:1d,66,-70
4a:23:2e:7a:ac:08,66,-78
4a:23:2e:7a:ac:08,67,-85
6f:27:39:4f:64:1d,67,-68
4a:23:2e:7a:ac:08,67,-87
6f:27:39:4f:64:1d,67,-69
6f:27:39:4f:64:1d,68,-71
6f:27:39:4f:64:1d,69,-71
6f:27:39:4f:64:1d,69,-78
4a:23:2e:7a:ac:08,69,-87
6f:27:39:4f:64:1d,70,-75
4a:23:2e:7a:ac:08,70,-86
4a:23:2e:7a:ac:08,70,-84
6f:27:39:4f:64:1d,70,-71
4a:23:2e:7a:ac:08,70,-88
6f:27:39:4f:64:1d,70,-67
4a:23:2e:7a:ac:08,70,-83
4a:23:2e:7a:ac:08,71,-86
4a:23:2e:7a:ac:08,71,-87
6f:27:39:4f:64:1d,71,-66
4a:23:2e:7a:ac:08,72,-84
4a:23:2e:7a:ac:08,72,-82
6f:27:39:4f:64:1d,73,-77
4a:23:2e:7a:ac:08,73,-86
6f:27:39:4f:64:1d,73,-78
4a:23:2e:7a:ac:08,73,-82
6f:27:39:4f:64:1d,74,-68
4a:23:2e:7a:ac:08,74,-75
6f:27:39:4f:64:1d,74,-70
4a:23:2e:7a:ac:08,74,-77
6f:27:39:4f:64:1d,74,-70
6f:27:39:4f:64:1d,75,-67
4a:23:2e:7a:ac:08,75,-76
4a:23:2e:7a:ac:08,76,-76
4a:23:2e:7a:ac:08,76,-76
6f:27:39:4f:64:1d,76,-68
4a:23:2e:7a:ac:08,76,-76
4a:23:2e:7a:ac:08,76,-77
4a:23:2e:7a:ac:08,77,-75
6f:27:39:4f:64:1d,77,-68
4a:23:2e:7a:ac:08,77,-75
6f:27:39:4f:64:1d,77,-68
4a:23:2e:7a:ac:08,77,-75
6f:27:39:4f:64:1d,78,-68
6f:27:39:4f:64:1d,78,-68
4a:23:2e:7a:ac:08,78,-75
6f:27:39:4f:64:1d,78,-68
4a:23:2e:7a:ac:08,78,-75
4a:23:2e:7a:ac:08,79,-81
4a:23:2e:7a:ac:08,79,-75
6f:27:39:4f:64:1d,79,-66
6f:27:39:4f:64:1d,80,-68
4a:23:2e:7a:ac:08,80,-74
6f:27:39:4f:64:1d,80,-70
4a:23:2e:7a:ac:08,80,-74
6f:27:39:4f:64:1d,80,-67
4a:23:2e:7a:ac:08,80,-75
4a:23:2e:7a:ac:08,80,-81
4a:23:2e:7a:ac:08,81,-75
4a:23:2e:7a:ac:08,81,-75
6f:27:39:4f:64:1d,82,-68
4a:23:2e:7a:ac:08,82,-74
4a:23:2e:7a:ac:08,82,-75
4a:23:2e:7a:ac:08,82,-74
6f:27:39:4f:64:1d,83,-68
4a:23:2e:7a:ac:08,83,-74
4a:23:2e:7a:ac:08,83,-75
6f:27:39:4f:64:1d,83,-68
4a:23:2e:7a:ac:08,84,-75
6f:27:39:4f:64:1d,84,-69
4a:23:2e:7a:ac:08,84,-75
6f:27:39:4f:64:1d,84,-71
4a:23:2e:7a:ac:08,84,-76
6f:27:39:4f:64:1d,85,-77
4a:23:2e:7a:ac:08,85,-76
6f:27:39:4f:64:1d,85,-72
4a:23:2e:7a:ac:08,85,-75
6f:27:39:4f:64:1d,85,-74
4a:23:2e:7a:ac:08,85,-75
6f:27:39:4f:64:1d,86,-78
4a:23:2e:7a:ac:08,86,-76
4a:23:2e:7a:ac:08,86,-81
6f:27:39:4f:64:1d,86,-71
6f:27:39:4f:64:1d,87,-70
4a:23:2e:7a:ac:08,87,-75
4a:23:2e:7a:ac:08,87,-74
4a:23:2e:7a:ac:08,88,-74
4a:23:2e:7a:ac:08,88,-80
6f:27:39:4f:64:1d,88,-65
6f:27:39:4f:64:1d,88,-69
4a:23:2e:7a:ac:08,88,-74
6f:27:39:4f:64:1d,88,-67
6f:27:39:4f:64:1d,89,-68
6f:27:39:4f:64:1d,89,-68
4a:23:2e:7a:ac:08,89,-74
4a:23:2e:7a:ac:08,90,-74
6f:27:39:4f:64:1d,90,-68
4a:23:2e:7a:ac:08,90,-75
6f:27:39:4f:64:1d,90,-68
6f:27:39:4f:64:1d,90,-68
4a:23:2e:7a:ac:08,91,-76
6f:27:39:4f:64:1d,91,-70
4a:23:2e:7a:ac:08,91,-75
6f:27:39:4f:64:1d,92,-68
6f:27:39:4f:64:1d,92,-69
