AdvA,time,rssi
71:17:c0:86:ab:b7,50,-78
71:17:c0:86:ab:b7,51,-74
29:21:9f:e4:7a:e7,51,-88
71:17:c0:86:ab:b7,51,-82
29:21:9f:e4:7a:e7,51,-88
29:21:9f:e4:7a:e7,51,-87
71:17:c0:86:ab:b7,52,-76
71:17:c0:86:ab:b7,52,-76
29:21:9f:e4:7a:e7,52,-88
71:17:c0:86:ab:b7,52,-76
29:21:9f:e4:7a:e7,53,-89
71:17:c0:86:ab:b7,53,-76
29:21:9f:e4:7a:e7,53,-88
71:17:c0:86:ab:b7,53,-76
29:21:9f:e4:7a:e7,53,-88
71:17:c0:86:ab:b7,53,-78
29:21:9f:e4:7a:e7,54,-89
29:21:9f:e4:7a:e7,54,-88
29:21:9f:e4:7a:e7,55,-88
69:21:9f:e4:7a:e7,55,-87
71:17:c0:86:ab:b7,56,-75
29:21:9f:e4:7a:e7,56,-88
71:17:c0:86:ab:b7,56,-75
29:21:9f:e4:7a:e7,57,-87
29:21:9f:e4:7a:e7,57,-88
29:21:1f:e4:7a:e7,57,-88
71:17:c0:86:ab:b7,57,-75
71:17:c0:86:ab:b7,58,-77
29:21:9b:e4:7a:e7,58,-88
29:21:9f:e4:7a:e7,58,-88
29:21:9f:e4:7a:e7,59,-88
71:17:c0:86:ab:b7,59,-77
71:17:c0:86:ab:b7,60,-76
29:21:9f:e4:7a:e7,60,-88
71:17:c0:86:ab:b7,60,-75
29:21:9f:e4:7a:e7,60,-102
71:17:c0:86:ab:b7,61,-77
29:21:9f:e4:7a:e7,61,-87
71:17:c0:86:ab:b7,61,-76
29:21:9f:e4:7a:e7,61,-88
71:17:c0:86:ab:b7,61,-76
29:21:9f:e4:7a:e7,61,-87
29:21:9f:e4:7a:e7,62,-88
71:17:c0:86:ab:b7,63,-75
71:17:c0:86:ab:b7,63,-77
71:17:c0:86:ab:b7,63,-77
29:21:9f:e4:7a:e7,63,-88
29:21:9f:e4:7a:e7,64,-88
29:21:9f:e4:7a:e7,64,-90
71:17:c0:86:ab:b7,65,-77
29:21:9f:e4:7a:e7,65,-88
71:17:c0:86:ab:b7,65,-83
29:21:9f:e4:7a:e7,65,-102
71:17:c0:86:ab:b7,65,-77
29:21:9f:e4:7a:e7,66,-88
71:17:c0:86:ab:b7,66,-76
29:21:9f:e4:7a:e7,66,-88
69:21:9f:e4:7a:e7,66,-88
71:17:c0:86:ab:b7,67,-77
29:21:9f:e4:7a:e7,67,-88
29:21:9f:e4:7a:e7,67,-88
71:17:c0:86:ab:b7,67,-77
29:21:9f:e4:7a:e7,67,-88
71:17:c0:86:ab:b7,68,-77
71:17:c0:86:ab:b7,68,-83
71:17:c0:86:ab:b7,69,-83
29:21:9f:e4:7a:e7,69,-88
71:17:c0:86:ab:b7,69,-83
71:17:c0:86:ab:b7,69,-83
71:17:c0:86:ab:b7,69,-83
29:21:9f:e4:7a:e6,70,-88
29:21:9f:e4:7a:e7,70,-89
71:17:c0:86:ab:b7,71,-75
29:21:9f:e4:7a:e7,71,-88
71:17:c0:86:ab:b7,72,-77
71:17:c0:86:ab:b7,73,-77
71:17:c0:86:ab:b7,73,-83
29:21:9f:e4:7a:e7,73,-88
71:17:c0:86:ab:b7,73,-79
29:21:9f:e4:7a:e7,73,-88
71:17:c0:86:ab:b7,74,-77
29:21:9f:e4:7a:e7,74,-88
71:17:c0:86:ab:b7,74,-77
