,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,11.941135712849869%%,12.15596375118338%%,11.59575414473308%%,13.229101013158745%%,13.487731044611595%%,14.772197023263168%%,15.04895321638827%%,14.669037370579687%%,14.743720400740733%%,14.255948323828072%%,13.785692261325174%%,14.117745861733209%%,13.633280590717309%%,13.404483122362878%%,13.366504381694263%%,13.20242210321325%%,13.177105647517044%%,13.366029698149955%%,13.302738558909448%%,13.264922103213246%%
2,7.155880017739533%%,10.83178427233217%%,13.178673224711565%%,15.120314073148947%%,15.266885333898808%%,16.378929911256225%%,15.740049151381607%%,15.518397088698569%%,14.876792395922985%%,14.2226923254405%%,13.765058977775505%%,13.668285459266475%%,13.55240993184031%%,13.399525316455694%%,13.311392405063291%%,13.324367088607596%%,13.311708860759495%%,13.298892405063292%%,13.273575949367087%%,13.235601265822783%%
3,15.912256115767683%%,14.583366290818674%%,14.278780210827833%%,16.39587856997673%%,16.17733361695684%%,15.758296897357535%%,14.641153236614606%%,14.043977949099544%%,13.47320337889959%%,13.416054040895817%%,12.996486530347289%%,12.889244563453424%%,12.925283998701723%%,12.936323433950017%%,12.995253164556964%%,13.084018987341773%%,13.04620253164557%%,12.995727848101263%%,13.033544303797465%%,13.096835443037971%%
4,19.248803539941303%%,17.297289709377345%%,12.32143978531514%%,13.719811558866182%%,13.882441750003196%%,13.344802905289262%%,13.141982867232711%%,12.448241631785939%%,12.679196541854765%%,13.129576436222003%%,12.877568159688412%%,12.846567672833496%%,13.121518987341771%%,13.146835443037975%%,13.096360759493672%%,13.071202531645568%%,13.008227848101262%%,12.995569620253164%%,13.033544303797466%%,13.033544303797466%%
5,19.367259129759127%%,11.735868615894782%%,12.424900238462808%%,16.435618769365227%%,15.013860909873575%%,14.107127624762546%%,13.552342383355048%%,13.169433625446283%%,13.351947419668946%%,13.197784810126587%%,13.095253164556963%%,12.994462025316459%%,12.94382911392405%%,12.969145569620252%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
6,27.473448773448773%%,14.510464937739858%%,12.699064783456922%%,13.806534296279215%%,13.926012131328596%%,13.854658685196664%%,13.393553229470953%%,13.315031645569622%%,13.133227848101267%%,13.00712025316456%%,12.981803797468356%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
7,29.07344877344878%%,13.421243461184233%%,11.474512921395753%%,13.840248978524796%%,14.341623313950103%%,13.84234937003925%%,13.496928756897114%%,13.288449367088608%%,13.019778481012658%%,12.969145569620254%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
8,48.95833333333332%%,15.625972053240973%%,11.70711800558919%%,13.482787070949087%%,13.216641843055903%%,13.71208090432774%%,13.362520285621557%%,13.326797306069457%%,13.006962025316454%%,12.994303797468353%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
9,56.283333333333324%%,18.255235628315788%%,11.172273584444435%%,13.603096323710188%%,13.877111812238402%%,13.83628286270691%%,13.261765660499837%%,13.082436708860758%%,12.994303797468353%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
10,2.4999999999999996%%,13.742577636501785%%,12.237626342985477%%,13.334800029860594%%,13.971697500811429%%,13.867088607594937%%,13.259177215189872%%,13.10775316455696%%,13.019462025316454%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
11,0.0%%,12.547740089288078%%,13.46312382529286%%,13.757829949315267%%,15.140055988315483%%,13.690189873417724%%,13.208544303797469%%,13.057436708860758%%,12.969145569620252%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
12,65.79285714285713%%,19.91071137325007%%,15.25030192961616%%,15.381767801786655%%,14.614074164232395%%,13.450316455696203%%,13.057120253164555%%,13.006962025316454%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
13,61.61785714285714%%,19.96379636874994%%,15.113492146544525%%,16.034735454129205%%,14.485731093800716%%,13.37278481012658%%,13.056962025316455%%,12.981645569620252%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
14,63.72619047619046%%,12.44538096062864%%,16.349213977558172%%,15.66231497282467%%,14.575916910094131%%,13.284335443037973%%,13.057120253164555%%,13.006803797468354%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
15,64.04285714285714%%,11.973758302241272%%,15.145683776691653%%,16.06088368746931%%,14.567413177539766%%,13.397943037974684%%,13.044620253164556%%,13.019462025316454%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
16,62.876190476190466%%,11.8674277854928%%,15.442898511911029%%,16.96671395752785%%,14.50138347938981%%,13.311116520610193%%,13.044778481012656%%,12.994303797468355%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
17,0.0%%,15.527442023733578%%,16.25825569733423%%,17.07064854809859%%,14.074387374229152%%,13.074922914638105%%,12.994303797468355%%,12.969145569620254%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
18,14.283333333333335%%,19.721342645142954%%,16.68596979814505%%,15.857448839685684%%,13.846084875040576%%,13.087581142486208%%,12.994303797468355%%,12.969145569620254%%,12.969145569620254%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
19,13.366666666666665%%,20.43739657576984%%,17.654664918379336%%,16.320446344015753%%,13.888145082765341%%,13.102186790003245%%,12.994462025316457%%,12.969145569620254%%,12.969145569620254%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
20,0.0%%,19.421654113859987%%,17.991272667265378%%,16.94173563281826%%,13.879884777669597%%,13.062471600129827%%,12.981803797468356%%,12.969145569620254%%,12.969145569620254%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%,12.956487341772151%%
