1,100.0%
2,50.0%
3,32.666666666666686%
4,25.25%
5,22.6%
6,17.000000000000007%
7,13.999999999999998%
8,14.5%
9,10.888888888888879%
10,9.7%
11,10.36363636363636%
12,8.333333333333336%
13,7.538461538461532%
14,8.428571428571432%
15,6.933333333333329%
16,6.25%
17,6.352941176470583%
18,5.944444444444439%
19,6.6315789473684195%
20,4.95%
21,5.999999999999999%
22,4.77272727272727%
23,4.826086956521738%
24,3.4583333333333326%
25,3.68%
26,3.7307692307692304%
27,2.962962962962962%
28,3.571428571428572%
29,2.9310344827586188%
30,3.0000000000000004%
31,3.322580645161288%
32,3.21875%
33,3.7575757575757525%
34,2.5882352941176445%
35,3.285714285714286%
36,3.08333333333333%
37,2.405405405405408%
38,2.3947368421052606%
39,2.1538461538461555%
40,2.2%
41,2.195121951219511%
42,2.4285714285714275%
43,2.1860465116279078%
44,2.045454545454545%
45,1.4222222222222232%
46,1.8695652173913035%
47,1.8936170212765946%
48,1.4999999999999993%
49,1.959183673469387%
50,1.7%
51,1.7254901960784295%
52,1.4615384615384606%
53,1.9245283018867907%
54,1.8148148148148135%
55,1.4727272727272718%
56,1.535714285714286%
57,1.7719298245614008%
58,1.5517241379310334%
59,1.4576271186440672%
60,1.4000000000000004%
61,1.2459016393442628%
62,1.532258064516129%
63,1.3650793650793653%
64,1.34375%
65,1.5076923076923074%
66,1.4848484848484842%
67,1.3731343283582083%
68,1.2941176470588223%
69,1.3478260869565233%
70,1.442857142857144%
71,1.3943661971831%
72,1.402777777777776%
73,1.36986301369863%
74,1.5675675675675698%
75,1.44%
76,1.776315789473683%
77,1.7792207792207804%
78,2.064102564102565%
79,2.531645569620253%
