R,T,I,score
1,6,1,90.00000000000001%
1,6,2,88.96666666666668%
1,6,3,85.0%
1,6,4,89.0%
1,6,5,57.5%
1,6,6,36.0%
1,6,7,30.0%
1,6,8,28.0%
1,6,9,12.5%
1,6,10,6.5%
1,6,11,7.5%
1,6,12,26.5%
1,6,13,28.5%
1,6,14,25.5%
1,6,15,27.0%
1,6,16,26.5%
1,6,17,2.5%
1,6,18,1.5%
1,6,19,1.5%
1,6,20,2.5%
2,6,1,95.46428571428572%
2,6,2,96.41666666666666%
2,6,3,96.78333333333332%
2,6,4,97.53214285714286%
2,6,5,82.58333333333331%
2,6,6,86.63333333333334%
2,6,7,73.25%
2,6,8,61.66666666666667%
2,6,9,63.13333333333333%
2,6,10,29.83333333333333%
2,6,11,49.16666666666666%
2,6,12,62.41666666666666%
2,6,13,59.25%
2,6,14,40.33333333333333%
2,6,15,41.83333333333333%
2,6,16,45.83333333333333%
2,6,17,48.0%
2,6,18,53.41666666666666%
2,6,19,43.83333333333333%
2,6,20,44.66666666666666%
3,6,1,96.00714285714284%
3,6,2,97.19758297258296%
3,6,3,96.91901154401154%
3,6,4,98.18095238095239%
3,6,5,95.04285714285714%
3,6,6,96.98650793650793%
3,6,7,96.47413419913418%
3,6,8,96.27539682539683%
3,6,9,96.22023809523809%
3,6,10,95.33928571428572%
3,6,11,95.83095238095238%
3,6,12,95.575%
3,6,13,94.02976190476191%
3,6,14,94.42142857142859%
3,6,15,95.61190476190477%
3,6,16,92.9809523809524%
3,6,17,93.67182539682538%
3,6,18,92.27023809523808%
3,6,19,94.39603174603175%
3,6,20,95.10833333333333%
4,6,1,95.675%
4,6,2,96.49101731601729%
4,6,3,97.28265345765344%
4,6,4,96.53552281052278%
4,6,5,97.01697469197467%
4,6,6,96.63656066156064%
4,6,7,96.8135087135087%
4,6,8,96.52186147186147%
4,6,9,96.99797147297144%
4,6,10,96.71268176268175%
4,6,11,96.91578421578419%
4,6,12,97.35966949716948%
4,6,13,97.69196081696079%
4,6,14,97.47690520264048%
4,6,15,97.28119519369518%
4,6,16,97.39711595593946%
