R,T,I,score
11,6,19,94.04673224072853%
11,6,20,94.0568400740093%
12,6,1,91.14278393518629%
12,6,2,93.45164279757748%
12,6,3,93.82794444716203%
12,6,4,93.82544162584874%
12,6,5,94.05157050549657%
12,6,6,94.07535224511254%
12,6,7,94.06440496854067%
12,6,8,94.095246623035%
12,6,9,94.0546067611991%
12,6,10,94.07925016075366%
12,6,11,94.04167383064987%
12,6,12,93.97786676130478%
12,6,13,94.02242902194104%
12,6,14,94.01472903187499%
12,6,15,94.02334221237186%
12,6,16,93.97603410949453%
12,6,17,93.99858438321375%
12,6,18,93.96673577088815%
12,6,19,94.05668190948029%
12,6,20,94.0744236830204%
13,6,1,91.12541634596612%
13,6,2,93.45872683468787%
13,6,3,93.88182299725923%
13,6,4,94.02903968593368%
13,6,5,94.1649726333331%
13,6,6,94.11440994665844%
13,6,7,94.0773866406876%
13,6,8,94.13971023283985%
13,6,9,94.13369322550899%
13,6,10,94.1497554287076%
13,6,11,94.12140985885222%
13,6,12,94.10249731750056%
13,6,13,94.08697322156688%
13,6,14,94.11843011583547%
13,6,15,94.15860270455265%
13,6,16,94.16730721273953%
13,6,17,94.15020090443313%
13,6,18,94.1743878534872%
13,6,19,94.16803867236382%
13,6,20,94.14159959232406%
14,6,1,91.24490553584036%
14,6,2,93.67128564258182%
14,6,3,93.93185446408089%
14,6,4,94.04913158497916%
14,6,5,94.11785202429346%
14,6,6,94.06584618562732%
14,6,7,94.17292911455473%
14,6,8,94.15293329125305%
14,6,9,94.16376405832604%
14,6,10,94.15571176108071%
14,6,11,94.17123877697057%
14,6,12,94.1723866354841%
14,6,13,94.15953122408767%
14,6,14,94.16169242765885%
14,6,15,94.15352598501724%
14,6,16,94.13926166275391%
14,6,17,94.13057326591316%
14,6,18,94.1507611186543%
14,6,19,94.1346994126652%
14,6,20,94.15758541632253%
15,6,1,91.27192412846051%
15,6,2,93.55444623392577%
15,6,3,93.8726404428142%
15,6,4,93.95915537848806%
15,6,5,94.10280257533432%
15,6,6,94.10865120538955%
15,6,7,94.13173670797484%
15,6,8,94.09540263188961%
15,6,9,94.1187169448491%
15,6,10,94.10823656841865%
15,6,11,94.11450662696652%
15,6,12,94.11746936751273%
15,6,13,94.11865782660732%
15,6,14,94.1265055068834%
15,6,15,94.0987872390376%
15,6,16,94.11665206907122%
15,6,17,94.12064583490017%
15,6,18,94.12265587936535%
15,6,19,94.12265587936535%
15,6,20,94.10892327198486%
16,6,1,91.28130309652778%
16,6,2,93.58101663781267%
16,6,3,93.8762378200958%
16,6,4,94.00666069817609%
16,6,5,94.11793186179516%
16,6,6,94.06854663065609%
16,6,7,94.12042405316423%
16,6,8,94.10255841585567%
16,6,9,94.08890479759025%
16,6,10,94.08138821580127%
16,6,11,94.0830205842736%
16,6,12,94.10264999148647%
16,6,13,94.09289119209174%
16,6,14,94.09780060179364%
16,6,15,94.10314244323746%
16,6,16,94.10344492357625%
16,6,17,94.10602626002667%
16,6,18,94.10790441301535%
16,6,19,94.10739238024524%
16,6,20,94.09365977286473%
17,6,1,91.25747136203334%
17,6,2,93.54217489058745%
17,6,3,93.91059901988581%
17,6,4,94.03356431398792%
17,6,5,94.09742824235126%
17,6,6,94.06133580698673%
17,6,7,94.09389264574446%
17,6,8,94.1075390878747%
17,6,9,94.09467448188279%
17,6,10,94.08506053218547%
17,6,11,94.08838781591203%
17,6,12,94.09135055645822%
17,6,13,94.09458610734596%
17,6,14,94.09780060179364%
17,6,15,94.10314244323746%
17,6,16,94.10344492357625%
17,6,17,94.10653829279677%
17,6,18,94.10903435651817%
17,6,19,94.10903435651817%
17,6,20,94.09417180563482%
18,6,1,91.28652268055833%
18,6,2,93.5732355537447%
18,6,3,93.91932993627312%
18,6,4,94.01771818214047%
18,6,5,94.10053135246405%
18,6,6,94.06439021263819%
18,6,7,94.09690074223595%
18,6,8,94.11054718436618%
18,6,9,94.09768257837428%
18,6,10,94.08806862867695%
18,6,11,94.09139591240351%
18,6,12,94.09435865294972%
18,6,13,94.09759420383747%
18,6,14,94.10080869828515%
18,6,15,94.10615053972897%
18,6,16,94.10645302006775%
18,6,17,94.10903435651817%
18,6,18,94.10903435651817%
18,6,19,94.10903435651817%
18,6,20,94.09417180563482%
19,6,1,91.32568699826886%
19,6,2,93.5555440998046%
19,6,3,93.90400184331345%
19,6,4,94.00047680283012%
19,6,5,94.0832899731537%
19,6,6,94.06439021263819%
19,6,7,94.09690074223595%
19,6,8,94.11054718436618%
19,6,9,94.09768257837428%
19,6,10,94.08806862867695%
19,6,11,94.09139591240351%
19,6,12,94.09435865294972%
19,6,13,94.09759420383747%
19,6,14,94.10080869828515%
19,6,15,94.10615053972897%
19,6,16,94.10645302006775%
19,6,17,94.10903435651817%
19,6,18,94.10903435651817%
19,6,19,94.10903435651817%
19,6,20,94.09417180563482%
20,6,1,91.32568699826886%
20,6,2,93.5351359365393%
20,6,3,93.9054629771533%
20,6,4,94.002251219878%
20,6,5,94.0832899731537%
20,6,6,94.06439021263819%
20,6,7,94.09690074223595%
20,6,8,94.11054718436618%
20,6,9,94.09768257837428%
20,6,10,94.08806862867695%
20,6,11,94.09139591240351%
20,6,12,94.09435865294972%
20,6,13,94.09759420383747%
20,6,14,94.10080869828515%
20,6,15,94.10615053972897%
20,6,16,94.10645302006775%
20,6,17,94.10903435651817%
20,6,18,94.10903435651817%
20,6,19,94.10903435651817%
20,6,20,94.09417180563482%
