R,T,I,score
11,6,13,4.962836741317758%
11,6,14,4.9776046738072095%
11,6,15,4.951476793248949%
11,6,16,4.950178513469656%
11,6,17,4.962836741317758%
11,6,18,5.064102564102568%
11,6,19,5.318078545926652%
11,6,20,5.431191171697508%
12,6,1,5.126582278481018%
12,6,2,5.2278481012658276%
12,6,3,5.139240506329119%
12,6,4,5.113924050632916%
12,6,5,5.037974683544308%
12,6,6,5.025316455696207%
12,6,7,5.037974683544308%
12,6,8,5.101265822784815%
12,6,9,5.037974683544309%
12,6,10,5.05063291139241%
12,6,11,5.126582278481018%
12,6,12,5.101265822784816%
12,6,13,5.05063291139241%
12,6,14,5.063291139240512%
12,6,15,5.075949367088613%
12,6,16,5.037974683544308%
12,6,17,5.012658227848106%
12,6,18,5.05063291139241%
12,6,19,5.506329113924057%
12,6,20,5.4556962025316516%
13,6,1,4.848101265822789%
13,6,2,5.075949367088612%
13,6,3,5.025316455696208%
13,6,4,5.037974683544308%
13,6,5,5.025316455696207%
13,6,6,4.987341772151903%
13,6,7,5.088607594936713%
13,6,8,5.05063291139241%
13,6,9,5.05063291139241%
13,6,10,5.025316455696207%
13,6,11,5.025316455696208%
13,6,12,5.012658227848106%
13,6,13,4.9620253164557%
13,6,14,4.949367088607599%
13,6,15,4.949367088607599%
13,6,16,4.949367088607599%
13,6,17,4.911392405063295%
13,6,18,4.974683544303802%
13,6,19,5.05063291139241%
13,6,20,5.037974683544308%
14,6,1,4.797468354430384%
14,6,2,5.012658227848107%
14,6,3,4.974683544303802%
14,6,4,4.987341772151902%
14,6,5,4.949367088607599%
14,6,6,4.987341772151903%
14,6,7,5.037974683544308%
14,6,8,5.05063291139241%
14,6,9,5.012658227848106%
14,6,10,4.987341772151903%
14,6,11,5.025316455696207%
14,6,12,5.012658227848106%
14,6,13,4.974683544303802%
14,6,14,4.949367088607599%
14,6,15,4.949367088607599%
14,6,16,4.949367088607599%
14,6,17,4.924050632911396%
14,6,18,4.924050632911396%
14,6,19,4.924050632911396%
14,6,20,4.924050632911396%
15,6,1,4.7848101265822836%
15,6,2,5.000000000000004%
15,6,3,4.987341772151903%
15,6,4,4.949367088607599%
15,6,5,4.886075949367092%
15,6,6,4.949367088607599%
15,6,7,5.000000000000005%
15,6,8,5.000000000000004%
15,6,9,4.9620253164557%
15,6,10,4.936708860759498%
15,6,11,4.936708860759498%
15,6,12,4.936708860759498%
15,6,13,4.936708860759498%
15,6,14,4.924050632911396%
15,6,15,4.936708860759498%
15,6,16,4.924050632911396%
15,6,17,4.924050632911396%
15,6,18,4.924050632911396%
15,6,19,4.924050632911396%
15,6,20,4.924050632911396%
16,6,1,4.772151898734182%
16,6,2,4.936708860759498%
16,6,3,4.949367088607599%
16,6,4,4.936708860759498%
16,6,5,4.898734177215194%
16,6,6,4.898734177215194%
16,6,7,4.949367088607599%
16,6,8,4.949367088607599%
16,6,9,4.924050632911396%
16,6,10,4.924050632911396%
16,6,11,4.924050632911396%
16,6,12,4.924050632911396%
16,6,13,4.924050632911396%
16,6,14,4.924050632911396%
16,6,15,4.924050632911396%
16,6,16,4.924050632911396%
16,6,17,4.924050632911396%
16,6,18,4.924050632911396%
16,6,19,4.924050632911396%
16,6,20,4.924050632911396%
17,6,1,4.734177215189878%
17,6,2,4.9240506329113956%
17,6,3,4.949367088607599%
17,6,4,4.936708860759498%
17,6,5,4.898734177215194%
17,6,6,4.911392405063295%
17,6,7,4.924050632911396%
17,6,8,4.924050632911396%
17,6,9,4.924050632911396%
17,6,10,4.924050632911396%
17,6,11,4.924050632911396%
17,6,12,4.924050632911396%
17,6,13,4.924050632911396%
17,6,14,4.924050632911396%
17,6,15,4.924050632911396%
17,6,16,4.924050632911396%
17,6,17,4.911392405063295%
17,6,18,4.911392405063295%
17,6,19,4.911392405063295%
17,6,20,4.924050632911396%
18,6,1,4.7468354430379796%
18,6,2,4.898734177215193%
18,6,3,4.911392405063295%
18,6,4,4.898734177215194%
18,6,5,4.911392405063295%
18,6,6,4.911392405063295%
