R,T,I,score
1,6,1,10.366666666666667%
1,6,2,3.666666666666666%
1,6,3,10.666666666666668%
1,6,4,3.833333333333333%
1,6,5,6.166666666666666%
1,6,6,4.666666666666666%
1,6,7,3.666666666666666%
1,6,8,1.5%
1,6,9,3.666666666666666%
1,6,10,3.833333333333333%
1,6,11,4.166666666666666%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,13.98333333333333%
2,6,2,6.7%
2,6,3,24.566666666666674%
2,6,4,23.083333333333336%
2,6,5,11.916666666666668%
2,6,6,8.833333333333334%
2,6,7,9.166666666666668%
2,6,8,8.166666666666666%
2,6,9,4.166666666666666%
2,6,10,4.499999999999999%
2,6,11,8.666666666666666%
2,6,12,5.833333333333332%
2,6,13,3.333333333333333%
2,6,14,3.8333333333333326%
2,6,15,3.833333333333333%
2,6,16,4.166666666666666%
2,6,17,2.4999999999999996%
2,6,18,2.916666666666666%
2,6,19,2.166666666666666%
2,6,20,2.9999999999999996%
3,6,1,16.399999999999995%
3,6,2,16.533333333333328%
3,6,3,24.016666666666673%
3,6,4,20.83333333333333%
3,6,5,23.416666666666664%
3,6,6,16.33333333333333%
3,6,7,16.066666666666666%
3,6,8,19.33333333333333%
3,6,9,19.849999999999994%
3,6,10,18.433333333333326%
3,6,11,12.816666666666665%
3,6,12,13.299999999999997%
3,6,13,12.05%
3,6,14,13.883333333333333%
3,6,15,12.316666666666668%
3,6,16,11.733333333333334%
3,6,17,13.200000000000003%
3,6,18,11.1%
3,6,19,10.050000000000002%
3,6,20,13.933333333333332%
4,6,1,14.85%
4,6,2,16.799999999999997%
4,6,3,20.03333333333333%
4,6,4,20.78333333333333%
4,6,5,22.93333333333333%
4,6,6,26.33333333333333%
4,6,7,24.849999999999994%
4,6,8,24.0%
4,6,9,21.149999999999995%
4,6,10,19.799999999999997%
4,6,11,19.049999999999997%
4,6,12,20.249999999999996%
4,6,13,18.45%
4,6,14,18.15%
4,6,15,17.88333333333333%
4,6,16,19.599999999999994%
4,6,17,19.08333333333333%
4,6,18,18.88333333333333%
4,6,19,19.849999999999994%
4,6,20,18.71666666666666%
5,6,1,18.299999999999997%
5,6,2,17.116666666666664%
5,6,3,22.63333333333333%
