R,T,I,score
4,6,19,1.3513513513513513%
4,6,20,1.3513513513513513%
5,6,1,1.2658227848101267%
5,6,2,1.2658227848101267%
5,6,3,2.5316455696202533%
5,6,4,2.631578947368421%
5,6,5,3.896103896103896%
5,6,6,3.896103896103896%
5,6,7,2.564102564102564%
5,6,8,2.5974025974025974%
5,6,9,2.5974025974025974%
5,6,10,2.5974025974025974%
5,6,11,2.564102564102564%
5,6,12,2.5974025974025974%
5,6,13,2.5974025974025974%
5,6,14,2.631578947368421%
5,6,15,2.5974025974025974%
5,6,16,2.666666666666667%
5,6,17,2.631578947368421%
5,6,18,2.666666666666667%
5,6,19,2.666666666666667%
5,6,20,2.666666666666667%
6,6,1,1.2658227848101267%
6,6,2,2.5316455696202533%
6,6,3,2.5316455696202533%
6,6,4,2.564102564102564%
6,6,5,2.5316455696202533%
6,6,6,3.79746835443038%
6,6,7,2.5316455696202533%
6,6,8,1.2658227848101267%
6,6,9,1.2658227848101267%
6,6,10,1.282051282051282%
6,6,11,2.5316455696202533%
6,6,12,1.2658227848101267%
6,6,13,1.2658227848101267%
6,6,14,1.2658227848101267%
6,6,15,1.2658227848101267%
6,6,16,1.2987012987012987%
6,6,17,1.282051282051282%
6,6,18,1.282051282051282%
6,6,19,1.2658227848101267%
6,6,20,1.2658227848101267%
7,6,1,2.5316455696202533%
7,6,2,2.5316455696202533%
7,6,3,2.5316455696202533%
7,6,4,1.2658227848101267%
7,6,5,2.5316455696202533%
7,6,6,1.2658227848101267%
7,6,7,2.5316455696202533%
7,6,8,2.5316455696202533%
7,6,9,2.5316455696202533%
7,6,10,2.5316455696202533%
7,6,11,2.5316455696202533%
7,6,12,2.5316455696202533%
7,6,13,2.5316455696202533%
7,6,14,1.2658227848101267%
7,6,15,1.2658227848101267%
7,6,16,1.2658227848101267%
7,6,17,1.2658227848101267%
7,6,18,2.5316455696202533%
7,6,19,2.5316455696202533%
7,6,20,1.2658227848101267%
8,6,1,2.5316455696202533%
8,6,2,1.2658227848101267%
8,6,3,1.2658227848101267%
8,6,4,1.2658227848101267%
8,6,5,1.2658227848101267%
8,6,6,1.2658227848101267%
8,6,7,1.2658227848101267%
8,6,8,1.2658227848101267%
8,6,9,1.2658227848101267%
8,6,10,2.5316455696202533%
8,6,11,1.2658227848101267%
8,6,12,2.5316455696202533%
8,6,13,2.5316455696202533%
8,6,14,2.5316455696202533%
8,6,15,2.5316455696202533%
8,6,16,2.5316455696202533%
8,6,17,2.5316455696202533%
8,6,18,2.5316455696202533%
8,6,19,2.5316455696202533%
8,6,20,2.5316455696202533%
9,6,1,1.2658227848101267%
9,6,2,1.2658227848101267%
9,6,3,1.2658227848101267%
9,6,4,1.2658227848101267%
9,6,5,1.2658227848101267%
9,6,6,1.2658227848101267%
9,6,7,1.2658227848101267%
9,6,8,1.2658227848101267%
9,6,9,1.2658227848101267%
9,6,10,1.2658227848101267%
9,6,11,1.2658227848101267%
9,6,12,1.2658227848101267%
9,6,13,1.2658227848101267%
9,6,14,1.2658227848101267%
9,6,15,2.5316455696202533%
9,6,16,1.2658227848101267%
9,6,17,1.2658227848101267%
9,6,18,2.5316455696202533%
9,6,19,1.2658227848101267%
9,6,20,2.5316455696202533%
10,6,1,1.2658227848101267%
10,6,2,1.2658227848101267%
10,6,3,1.2658227848101267%
10,6,4,1.2658227848101267%
10,6,5,1.2658227848101267%
10,6,6,1.2658227848101267%
10,6,7,1.2658227848101267%
10,6,8,1.2658227848101267%
10,6,9,1.2658227848101267%
10,6,10,1.2658227848101267%
10,6,11,1.2658227848101267%
10,6,12,1.2658227848101267%
10,6,13,1.2658227848101267%
10,6,14,1.2658227848101267%
10,6,15,1.2658227848101267%
10,6,16,1.2658227848101267%
10,6,17,1.2658227848101267%
10,6,18,1.2658227848101267%
10,6,19,1.2658227848101267%
10,6,20,1.2658227848101267%
11,6,1,1.2658227848101267%
11,6,2,1.2658227848101267%
11,6,3,1.2658227848101267%
11,6,4,1.2658227848101267%
11,6,5,1.2658227848101267%
11,6,6,1.2658227848101267%
11,6,7,1.2658227848101267%
11,6,8,1.2658227848101267%
11,6,9,1.2658227848101267%
11,6,10,1.2658227848101267%
11,6,11,1.2658227848101267%
11,6,12,1.2658227848101267%
11,6,13,1.2658227848101267%
11,6,14,1.2658227848101267%
11,6,15,1.2658227848101267%
11,6,16,1.2658227848101267%
11,6,17,1.2658227848101267%
11,6,18,1.2658227848101267%
11,6,19,1.2658227848101267%
11,6,20,1.2658227848101267%
12,6,1,1.2658227848101267%
12,6,2,1.2658227848101267%
12,6,3,1.2658227848101267%
12,6,4,1.2658227848101267%
12,6,5,1.2658227848101267%
12,6,6,1.2658227848101267%
12,6,7,1.2658227848101267%
12,6,8,1.2658227848101267%
12,6,9,1.2658227848101267%
12,6,10,1.2658227848101267%
12,6,11,1.2658227848101267%
12,6,12,1.2658227848101267%
12,6,13,1.2658227848101267%
12,6,14,1.2658227848101267%
12,6,15,1.2658227848101267%
12,6,16,1.2658227848101267%
12,6,17,1.2658227848101267%
12,6,18,1.2658227848101267%
12,6,19,1.2658227848101267%
12,6,20,1.2658227848101267%
13,6,1,1.2658227848101267%
13,6,2,1.2658227848101267%
13,6,3,1.2658227848101267%
13,6,4,1.2658227848101267%
13,6,5,1.2658227848101267%
13,6,6,1.2658227848101267%
13,6,7,1.2658227848101267%
13,6,8,1.2658227848101267%
13,6,9,1.2658227848101267%
13,6,10,1.2658227848101267%
13,6,11,1.2658227848101267%
13,6,12,1.2658227848101267%
13,6,13,1.2658227848101267%
13,6,14,1.2658227848101267%
13,6,15,1.2658227848101267%
13,6,16,1.2658227848101267%
13,6,17,1.2658227848101267%
13,6,18,1.2658227848101267%
13,6,19,1.2658227848101267%
13,6,20,1.2658227848101267%
14,6,1,1.2658227848101267%
14,6,2,1.2658227848101267%
14,6,3,1.2658227848101267%
14,6,4,1.2658227848101267%
14,6,5,1.2658227848101267%
14,6,6,1.2658227848101267%
14,6,7,1.2658227848101267%
14,6,8,1.2658227848101267%
14,6,9,1.2658227848101267%
14,6,10,1.2658227848101267%
14,6,11,1.2658227848101267%
14,6,12,1.2658227848101267%
14,6,13,1.2658227848101267%
14,6,14,1.2658227848101267%
14,6,15,1.2658227848101267%
14,6,16,1.2658227848101267%
14,6,17,1.2658227848101267%
14,6,18,1.2658227848101267%
14,6,19,1.2658227848101267%
14,6,20,1.2658227848101267%
15,6,1,1.2658227848101267%
15,6,2,1.2658227848101267%
15,6,3,1.2658227848101267%
15,6,4,1.2658227848101267%
15,6,5,1.2658227848101267%
15,6,6,1.2658227848101267%
15,6,7,1.2658227848101267%
15,6,8,1.2658227848101267%
15,6,9,1.2658227848101267%
15,6,10,1.2658227848101267%
15,6,11,1.2658227848101267%
15,6,12,1.2658227848101267%
15,6,13,1.2658227848101267%
15,6,14,1.2658227848101267%
15,6,15,1.2658227848101267%
15,6,16,1.2658227848101267%
15,6,17,1.2658227848101267%
15,6,18,1.2658227848101267%
15,6,19,1.2658227848101267%
15,6,20,1.2658227848101267%
16,6,1,1.2658227848101267%
16,6,2,1.2658227848101267%
16,6,3,1.2658227848101267%
16,6,4,1.2658227848101267%
16,6,5,1.2658227848101267%
16,6,6,1.2658227848101267%
16,6,7,1.2658227848101267%
16,6,8,1.2658227848101267%
16,6,9,1.2658227848101267%
16,6,10,1.2658227848101267%
16,6,11,1.2658227848101267%
16,6,12,1.2658227848101267%
16,6,13,1.2658227848101267%
16,6,14,1.2658227848101267%
16,6,15,1.2658227848101267%
16,6,16,1.2658227848101267%
16,6,17,1.2658227848101267%
16,6,18,1.2658227848101267%
16,6,19,1.2658227848101267%
16,6,20,1.2658227848101267%
17,6,1,1.2658227848101267%
17,6,2,1.2658227848101267%
17,6,3,1.2658227848101267%
17,6,4,1.2658227848101267%
17,6,5,1.2658227848101267%
17,6,6,1.2658227848101267%
17,6,7,1.2658227848101267%
17,6,8,1.2658227848101267%
17,6,9,1.2658227848101267%
17,6,10,1.2658227848101267%
17,6,11,1.2658227848101267%
17,6,12,1.2658227848101267%
17,6,13,1.2658227848101267%
17,6,14,1.2658227848101267%
17,6,15,1.2658227848101267%
17,6,16,1.2658227848101267%
17,6,17,1.2658227848101267%
17,6,18,1.2658227848101267%
17,6,19,1.2658227848101267%
17,6,20,1.2658227848101267%
18,6,1,1.2658227848101267%
18,6,2,1.2658227848101267%
18,6,3,1.2658227848101267%
18,6,4,1.2658227848101267%
18,6,5,1.2658227848101267%
18,6,6,1.2658227848101267%
18,6,7,1.2658227848101267%
18,6,8,1.2658227848101267%
18,6,9,1.2658227848101267%
18,6,10,1.2658227848101267%
18,6,11,1.2658227848101267%
18,6,12,1.2658227848101267%
18,6,13,1.2658227848101267%
18,6,14,1.2658227848101267%
18,6,15,1.2658227848101267%
18,6,16,1.2658227848101267%
18,6,17,1.2658227848101267%
18,6,18,1.2658227848101267%
18,6,19,1.2658227848101267%
18,6,20,1.2658227848101267%
19,6,1,1.2658227848101267%
19,6,2,1.2658227848101267%
19,6,3,1.2658227848101267%
19,6,4,1.2658227848101267%
19,6,5,1.2658227848101267%
19,6,6,1.2658227848101267%
19,6,7,1.2658227848101267%
19,6,8,1.2658227848101267%
19,6,9,1.2658227848101267%
19,6,10,1.2658227848101267%
19,6,11,1.2658227848101267%
19,6,12,1.2658227848101267%
19,6,13,1.2658227848101267%
19,6,14,1.2658227848101267%
19,6,15,1.2658227848101267%
19,6,16,1.2658227848101267%
19,6,17,1.2658227848101267%
19,6,18,1.2658227848101267%
19,6,19,1.2658227848101267%
19,6,20,1.2658227848101267%
20,6,1,1.2658227848101267%
20,6,2,1.2658227848101267%
20,6,3,1.2658227848101267%
20,6,4,1.2658227848101267%
20,6,5,1.2658227848101267%
20,6,6,1.2658227848101267%
20,6,7,1.2658227848101267%
20,6,8,1.2658227848101267%
20,6,9,1.2658227848101267%
20,6,10,1.2658227848101267%
20,6,11,1.2658227848101267%
20,6,12,1.2658227848101267%
20,6,13,1.2658227848101267%
20,6,14,1.2658227848101267%
20,6,15,1.2658227848101267%
20,6,16,1.2658227848101267%
20,6,17,1.2658227848101267%
20,6,18,1.2658227848101267%
20,6,19,1.2658227848101267%
20,6,20,1.2658227848101267%
