R,T,I,score
13,6,16,10.0%
13,6,17,10.0%
13,6,18,10.0%
13,6,19,10.0%
13,6,20,10.0%
14,6,1,10.4%
14,6,2,10.9%
14,6,3,9.9%
14,6,4,10.5%
14,6,5,10.0%
14,6,6,10.0%
14,6,7,10.0%
14,6,8,10.0%
14,6,9,10.0%
14,6,10,10.0%
14,6,11,10.0%
14,6,12,10.0%
14,6,13,10.0%
14,6,14,10.0%
14,6,15,10.0%
14,6,16,10.0%
14,6,17,10.0%
14,6,18,10.0%
14,6,19,10.0%
14,6,20,10.0%
15,6,1,10.3%
15,6,2,10.8%
15,6,3,10.4%
15,6,4,10.2%
15,6,5,10.0%
15,6,6,10.0%
15,6,7,10.0%
15,6,8,10.0%
15,6,9,10.0%
15,6,10,10.0%
15,6,11,10.0%
15,6,12,10.0%
15,6,13,10.0%
15,6,14,10.0%
15,6,15,10.0%
15,6,16,10.0%
15,6,17,10.0%
15,6,18,10.0%
15,6,19,10.0%
15,6,20,10.0%
16,6,1,10.1%
16,6,2,10.3%
16,6,3,10.3%
16,6,4,10.2%
16,6,5,10.0%
16,6,6,10.0%
16,6,7,10.0%
16,6,8,10.0%
16,6,9,10.0%
16,6,10,10.0%
16,6,11,10.0%
16,6,12,10.0%
16,6,13,10.0%
16,6,14,10.0%
16,6,15,10.0%
16,6,16,10.0%
16,6,17,10.0%
16,6,18,10.0%
16,6,19,10.0%
16,6,20,10.0%
17,6,1,10.0%
17,6,2,10.3%
17,6,3,10.2%
17,6,4,10.0%
17,6,5,10.0%
17,6,6,10.0%
17,6,7,10.0%
17,6,8,10.0%
17,6,9,10.0%
17,6,10,10.0%
17,6,11,10.0%
17,6,12,10.0%
17,6,13,10.0%
17,6,14,10.0%
17,6,15,10.0%
17,6,16,10.0%
17,6,17,10.0%
17,6,18,10.0%
17,6,19,10.0%
17,6,20,10.0%
18,6,1,10.1%
18,6,2,10.3%
18,6,3,10.1%
18,6,4,10.0%
18,6,5,10.0%
18,6,6,10.0%
18,6,7,10.0%
18,6,8,10.0%
18,6,9,10.0%
18,6,10,10.0%
18,6,11,10.0%
18,6,12,10.0%
18,6,13,10.0%
18,6,14,10.0%
18,6,15,10.0%
18,6,16,10.0%
18,6,17,10.0%
18,6,18,10.0%
18,6,19,10.0%
18,6,20,10.0%
19,6,1,10.1%
19,6,2,10.2%
19,6,3,10.0%
19,6,4,10.0%
19,6,5,10.0%
19,6,6,10.0%
19,6,7,10.0%
19,6,8,10.0%
19,6,9,10.0%
19,6,10,10.0%
19,6,11,10.0%
19,6,12,10.0%
19,6,13,10.0%
19,6,14,10.0%
