R,T,I,score
1,6,1,13.55463950490009%
1,6,2,10.74545054618584%
1,6,3,16.776789876789874%
1,6,4,5.785714285714286%
1,6,5,0.2%
1,6,6,2.583333333333333%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,0.0%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,5.0%
1,6,18,79.5%
1,6,19,82.66666666666666%
1,6,20,79.83333333333331%
2,6,1,9.286158425610132%
2,6,2,10.87407355233113%
2,6,3,7.702715703280379%
2,6,4,7.653126341322934%
2,6,5,7.900644195446996%
2,6,6,5.407969307991181%
2,6,7,9.315397276031277%
2,6,8,6.84961986328085%
2,6,9,10.540973732150201%
2,6,10,0.65%
2,6,11,2.849492174492174%
2,6,12,9.22122583299054%
2,6,13,9.85400432900433%
2,6,14,6.966443278943278%
2,6,15,10.994877344877345%
2,6,16,10.807417582417582%
2,6,17,24.748196248196244%
2,6,18,20.739668664668656%
2,6,19,18.330735930735923%
2,6,20,18.96554834054833%
3,6,1,9.696336371606943%
3,6,2,13.527970997217665%
3,6,3,5.360387789019684%
3,6,4,5.210453819574905%
3,6,5,5.674844317977403%
3,6,6,7.868556819868442%
3,6,7,10.22673234145732%
3,6,8,10.236602462514568%
3,6,9,5.641967543532847%
3,6,10,7.829359848671052%
3,6,11,6.577334890848026%
3,6,12,9.810144487392387%
3,6,13,9.869471998169857%
3,6,14,10.11155332465776%
3,6,15,11.251438466634573%
3,6,16,7.60178246101933%
3,6,17,6.679280214727038%
3,6,18,11.031594946210673%
3,6,19,8.569027589495326%
3,6,20,11.187271607880966%
4,6,1,9.457679256804195%
4,6,2,14.060338855715294%
4,6,3,5.760588815939282%
4,6,4,6.912698650928437%
4,6,5,7.259868809835558%
4,6,6,8.238481607086753%
4,6,7,10.346640592692216%
4,6,8,8.443667907401869%
4,6,9,7.358632027601167%
4,6,10,8.06729327410871%
4,6,11,9.359493146441217%
4,6,12,8.30571622064907%
4,6,13,9.059019519473383%
4,6,14,10.378959430173552%
4,6,15,9.318447971776408%
4,6,16,7.67132029832804%
4,6,17,6.286677275240394%
4,6,18,7.726320871120784%
4,6,19,8.307964558962956%
4,6,20,9.625949333774232%
5,6,1,8.560307408834404%
5,6,2,13.317952300508498%
5,6,3,7.734709550979813%
5,6,4,9.876742446140389%
5,6,5,7.570324713791324%
5,6,6,11.48962216651191%
5,6,7,11.824526253088823%
5,6,8,9.812852580276783%
5,6,9,6.554460317144068%
5,6,10,7.287300165919251%
5,6,11,8.142653504797199%
5,6,12,5.532085267091668%
5,6,13,6.788997799865897%
5,6,14,10.2592908616691%
5,6,15,12.828727603972915%
5,6,16,14.301079556351333%
5,6,17,10.19635486319365%
5,6,18,7.541862370267633%
5,6,19,9.252698760200982%
5,6,20,11.559712483209541%
6,6,1,9.483262850562323%
6,6,2,12.106056295345361%
6,6,3,7.666542610636449%
6,6,4,11.896647455748663%
6,6,5,7.657361800212361%
6,6,6,12.434917035616047%
6,6,7,10.83645248773168%
6,6,8,9.57529243730223%
6,6,9,6.779119028142909%
6,6,10,8.62057757620114%
6,6,11,8.875181985414361%
6,6,12,7.410797026710616%
6,6,13,8.27353269253161%
6,6,14,10.398191862408032%
6,6,15,10.903665185694209%
6,6,16,12.397125162564716%
6,6,17,12.361439123764681%
6,6,18,11.439066375016212%
6,6,19,10.564345452027638%
6,6,20,10.63565709029477%
7,6,1,9.653014312384675%
7,6,2,11.843860109874315%
7,6,3,7.9794212542083445%
7,6,4,14.335293347921777%
7,6,5,10.98233658072794%
7,6,6,11.092264554686981%
7,6,7,10.250561595677281%
7,6,8,10.25819498833886%
7,6,9,8.70678078236877%
7,6,10,9.193703707176816%
7,6,11,9.158253739623063%
7,6,12,9.05321755633767%
7,6,13,7.581093072198969%
7,6,14,9.272723879699278%
7,6,15,9.064703320069281%
7,6,16,9.603808313846557%
7,6,17,11.397666616091263%
7,6,18,10.906939378794954%
7,6,19,10.404126264043725%
7,6,20,10.187377831257074%
8,6,1,9.464838507884757%
8,6,2,11.741751638460585%
8,6,3,8.120935398932515%
8,6,4,13.260694362657212%
8,6,5,11.02456505837479%
8,6,6,11.670003408845249%
8,6,7,9.566351220249448%
8,6,8,9.266007898822798%
8,6,9,9.85297722940162%
8,6,10,10.301863844620277%
8,6,11,10.266907169993521%
8,6,12,10.100652466464496%
8,6,13,8.664873024431916%
8,6,14,9.281658003875185%
8,6,15,9.257909502461532%
8,6,16,9.520263328505738%
8,6,17,10.184134902769122%
8,6,18,11.629896428871621%
8,6,19,10.250102650460185%
8,6,20,11.60165940216996%
9,6,1,8.50176908665583%
9,6,2,10.584107972097756%
9,6,3,10.484341117071931%
9,6,4,13.793367746184634%
9,6,5,11.6862688152781%
9,6,6,11.705653852113366%
9,6,7,9.796048088904165%
9,6,8,9.001309659322663%
9,6,9,10.03140971932017%
9,6,10,11.15933344415601%
9,6,11,11.20926503525602%
9,6,12,10.429324551960972%
9,6,13,9.889544128033833%
9,6,14,9.335378781334674%
9,6,15,9.42030858627292%
9,6,16,9.207796121080118%
9,6,17,9.47667753593229%
9,6,18,11.054890939841952%
9,6,19,10.38294032348487%
9,6,20,11.322495611465932%
10,6,1,7.681485705009968%
10,6,2,9.59458372888014%
