R,T,I,score
1,6,1,90.4656038406038%
1,6,2,89.73629426129426%
1,6,3,91.77619047619048%
1,6,4,83.21666666666668%
1,6,5,80.84166666666667%
1,6,6,65.13333333333333%
1,6,7,58.08333333333333%
1,6,8,69.33333333333333%
1,6,9,37.5%
1,6,10,25.16666666666667%
1,6,11,21.5%
1,6,12,23.5%
1,6,13,11.5%
1,6,14,8.0%
1,6,15,9.5%
1,6,16,11.0%
1,6,17,4.0%
1,6,18,3.5%
1,6,19,2.0%
1,6,20,2.5%
2,6,1,88.39144949907332%
2,6,2,89.77316947758123%
2,6,3,89.21212676212676%
2,6,4,89.4752636252636%
2,6,5,89.94162504162502%
2,6,6,90.486211011211%
2,6,7,90.55714285714282%
2,6,8,92.1654761904762%
2,6,9,90.29880952380954%
2,6,10,91.27142857142859%
2,6,11,91.48333333333333%
2,6,12,87.15%
2,6,13,81.91666666666669%
2,6,14,74.8%
2,6,15,71.58333333333334%
2,6,16,66.25%
2,6,17,52.08333333333333%
2,6,18,55.99999999999999%
2,6,19,49.91666666666667%
2,6,20,49.16666666666666%
3,6,1,87.40232795331217%
3,6,2,88.58800050407405%
3,6,3,89.18152683615725%
3,6,4,87.94924395605341%
3,6,5,89.27270330494346%
3,6,6,89.0531187723525%
3,6,7,89.74693139845749%
3,6,8,89.84450970426202%
3,6,9,90.25821720419242%
3,6,10,88.87624671080552%
3,6,11,87.616269188328%
3,6,12,87.9649306575777%
3,6,13,89.1392445016284%
3,6,14,88.43316756772637%
3,6,15,87.78478465978468%
3,6,16,87.52490303813833%
3,6,17,88.03087745587743%
3,6,18,86.24695859695858%
3,6,19,87.91389721389719%
3,6,20,87.63932456432454%
4,6,1,87.11338165814459%
4,6,2,88.83991730296027%
4,6,3,88.93145797841349%
4,6,4,89.1863478974077%
4,6,5,90.16100232980139%
4,6,6,89.94326273501208%
4,6,7,89.7638176983767%
4,6,8,89.58830285098637%
4,6,9,90.20594736016706%
4,6,10,89.78166380926737%
4,6,11,89.92533856858947%
4,6,12,90.81574400703246%
4,6,13,90.03933049407902%
4,6,14,90.99379634896792%
4,6,15,90.05546577259388%
4,6,16,89.20439209102929%
4,6,17,89.57215362008843%
4,6,18,89.56659952918304%
4,6,19,89.28457967891023%
4,6,20,89.71300799538379%
5,6,1,86.33415978702986%
5,6,2,89.11571216799129%
5,6,3,90.14266033127542%
5,6,4,90.33955250475245%
5,6,5,90.62899324952488%
5,6,6,91.24354856984498%
5,6,7,91.29845182940083%
5,6,8,91.2454009116535%
5,6,9,90.69359912755661%
5,6,10,90.744922143533%
5,6,11,90.94193013769507%
5,6,12,90.65449394696655%
5,6,13,90.4949191131059%
5,6,14,90.5965169878847%
5,6,15,90.78462259105409%
5,6,16,90.80049795576763%
5,6,17,90.68175278053828%
5,6,18,90.67597882206809%
5,6,19,90.87496860407835%
5,6,20,91.01560105416728%
6,6,1,86.72654376603266%
6,6,2,89.92394416707424%
6,6,3,90.94563178067254%
6,6,4,91.21783661153827%
6,6,5,91.59568069924192%
6,6,6,91.73043028546219%
6,6,7,91.78074609041317%
6,6,8,91.71147601292778%
6,6,9,91.37448247034449%
6,6,10,91.19397069632437%
6,6,11,91.16965622361764%
6,6,12,91.0040238193991%
6,6,13,90.97733581642659%
6,6,14,90.94797532366596%
6,6,15,91.21797896112069%
6,6,16,90.82956579067766%
6,6,17,91.27268073747975%
6,6,18,91.39137308112764%
6,6,19,91.33012870527494%
6,6,20,91.46031265065001%
7,6,1,87.00362262026937%
7,6,2,90.13226508004769%
7,6,3,91.43801979748837%
7,6,4,91.42925845130621%
7,6,5,91.73701712800272%
7,6,6,91.84372078811592%
7,6,7,91.90075388211693%
7,6,8,91.78071958783279%
7,6,9,91.71389682047084%
7,6,10,91.98259414150927%
7,6,11,91.56720885782016%
7,6,12,91.65518800667222%
7,6,13,91.52015563060515%
7,6,14,91.51754160178376%
7,6,15,91.69693107802244%
7,6,16,91.67608939571586%
7,6,17,91.6810050731811%
7,6,18,91.50703530177489%
7,6,19,91.46968779276155%
7,6,20,91.6724739645786%
8,6,1,87.6868282226302%
8,6,2,90.17935749891039%
8,6,3,91.1900552671288%
8,6,4,91.1686591074663%
8,6,5,91.66712089225393%
8,6,6,91.68122175506298%
8,6,7,91.86581378327446%
8,6,8,91.87663794507723%
8,6,9,91.84890469092187%
8,6,10,92.07251619496628%
8,6,11,91.84239871924807%
8,6,12,91.84250740103352%
8,6,13,91.78747078436376%
8,6,14,91.73273459635584%
8,6,15,91.83137102763553%
8,6,16,91.83827809407634%
8,6,17,91.79800630567517%
8,6,18,91.68630399099466%
8,6,19,91.63413605754184%
8,6,20,91.7483584881869%
9,6,1,88.01097112725533%
9,6,2,90.5158858714027%
9,6,3,91.12206908776403%
9,6,4,91.13308308100808%
9,6,5,91.51599934554997%
9,6,6,91.65431915190844%
9,6,7,91.79457473369142%
9,6,8,91.76406736180273%
9,6,9,91.65531338113597%
9,6,10,91.77735491912276%
9,6,11,91.73475595859036%
9,6,12,91.89981233812854%
9,6,13,91.8258532518871%
9,6,14,91.79806871523824%
9,6,15,91.8136300088278%
9,6,16,91.73939888784943%
9,6,17,91.74845968128426%
9,6,18,91.67443767797435%
9,6,19,91.71272145701715%
9,6,20,91.6998785175559%
10,6,1,87.65237123913067%
10,6,2,90.36293431745813%
10,6,3,91.05585796058493%
10,6,4,90.9347472372229%
10,6,5,91.35110968463276%
10,6,6,91.60891834013472%
10,6,7,91.74424462536969%
10,6,8,91.61136864497583%
10,6,9,91.65445994505802%
10,6,10,91.6813716482913%
10,6,11,91.68929841666653%
10,6,12,91.66813264757202%
10,6,13,91.69853946406758%
10,6,14,91.68256592893145%
10,6,15,91.7272720704376%
10,6,16,91.67736427543112%
10,6,17,91.56033734292424%
10,6,18,91.61619009203224%
10,6,19,91.67036818435734%
10,6,20,91.6348191742757%
11,6,1,87.39179218817222%
11,6,2,90.40252591955277%
11,6,3,91.03569454690151%
11,6,4,90.98914372348679%
11,6,5,91.53384317032258%
11,6,6,91.58313764432296%
11,6,7,91.71389747649461%
11,6,8,91.66899397396537%
11,6,9,91.65362220390911%
11,6,10,91.59620608857587%
11,6,11,91.69319954800395%
11,6,12,91.60107171653576%
11,6,13,91.57906177064818%
11,6,14,91.62540500948417%
11,6,15,91.55918949956154%
11,6,16,91.60039640728291%
11,6,17,91.45020363464077%
11,6,18,91.45352990776591%
11,6,19,91.52679868538252%
11,6,20,91.52817250542104%
12,6,1,87.78721933472637%
12,6,2,90.73895768492184%
12,6,3,91.27480292992726%
12,6,4,91.33990631636509%
12,6,5,91.5784979361098%
12,6,6,91.64137156106435%
12,6,7,91.64697284892378%
12,6,8,91.62988682483702%
12,6,9,91.61681080991046%
12,6,10,91.58524459230324%
12,6,11,91.54792963035476%
12,6,12,91.5657567427159%
12,6,13,91.55601317321769%
12,6,14,91.42489613169545%
12,6,15,91.46511209260987%
12,6,16,91.53600430627858%
12,6,17,91.37060772816824%
12,6,18,91.52781979457197%
12,6,19,91.57593875521425%
12,6,20,91.60198760347916%
13,6,1,87.7001439364397%
13,6,2,90.9114125923276%
13,6,3,91.32921621651938%
13,6,4,91.39115714085148%
13,6,5,91.65573435957121%
13,6,6,91.61119650585451%
13,6,7,91.53935160651578%
13,6,8,91.76275642412766%
13,6,9,91.70813717686035%
13,6,10,91.6805900920336%
13,6,11,91.65619798866206%
13,6,12,91.69996634236212%
13,6,13,91.66844195569084%
13,6,14,91.63660396610247%
13,6,15,91.61349336107494%
13,6,16,91.6075523088331%
13,6,17,91.60342099285766%
13,6,18,91.70262832578717%
13,6,19,91.71675458689653%
13,6,20,91.70230810224146%
14,6,1,87.6702374442608%
14,6,2,91.01177889594882%
14,6,3,91.36275425207474%
14,6,4,91.58062855042672%
14,6,5,91.5656296032029%
14,6,6,91.64195290359126%
14,6,7,91.71250391776415%
14,6,8,91.75936973551168%
14,6,9,91.70835705336957%
14,6,10,91.75530670094935%
14,6,11,91.76388077469784%
14,6,12,91.73966834312056%
14,6,13,91.72433255967623%
14,6,14,91.75500424264101%
14,6,15,91.75852823185888%
14,6,16,91.728658395177%
14,6,17,91.72684270032332%
14,6,18,91.75161918099413%
14,6,19,91.737628951814%
14,6,20,91.75624129390843%
15,6,1,87.85915971364433%
15,6,2,91.03888977696923%
15,6,3,91.38778247103943%
15,6,4,91.53823917695954%
15,6,5,91.6389907430647%
15,6,6,91.64046337892404%
15,6,7,91.72100067351494%
15,6,8,91.71094611448756%
15,6,9,91.70660151089673%
15,6,10,91.73357822256975%
15,6,11,91.71213285719105%
15,6,12,91.74298409771973%
15,6,13,91.70899020044499%
15,6,14,91.73079378754392%
15,6,15,91.74720891250334%
15,6,16,91.70624278336265%
15,6,17,91.71644834784038%
15,6,18,91.72861972077123%
15,6,19,91.72943114563331%
15,6,20,91.72032822323924%
16,6,1,87.82490758138044%
16,6,2,91.00844319851439%
16,6,3,91.37413025825697%
16,6,4,91.56288940445926%
16,6,5,91.66594319127911%
16,6,6,91.66496716825142%
16,6,7,91.67990323025634%
16,6,8,91.68255489655603%
16,6,9,91.69911265314546%
16,6,10,91.71134518134936%
16,6,11,91.69084918305929%
16,6,12,91.70884804749845%
16,6,13,91.71286069703697%
16,6,14,91.72121897417165%
16,6,15,91.72156788686232%
16,6,16,91.70046949546912%
16,6,17,91.71725977270242%
16,6,18,91.72943114563331%
16,6,19,91.71725977270242%
16,6,20,91.70831913528076%
17,6,1,87.80043592215965%
17,6,2,90.94185670982512%
17,6,3,91.46619218942804%
17,6,4,91.52595897660927%
17,6,5,91.64004725177556%
17,6,6,91.65764126630528%
17,6,7,91.6576753526487%
17,6,8,91.68543608709544%
17,6,9,91.69033883202985%
17,6,10,91.69117080236825%
17,6,11,91.69328050700959%
17,6,12,91.71445108976661%
17,6,13,91.70406485153228%
17,6,14,91.72121897417165%
17,6,15,91.72251725395094%
17,6,16,91.70046949546912%
17,6,17,91.71887514045706%
17,6,18,91.70555091194294%
17,6,19,91.71820913979103%
17,6,20,91.70831913528076%
18,6,1,87.78892834460495%
18,6,2,90.90856190917826%
18,6,3,91.44559393128343%
18,6,4,91.53151969725661%
18,6,5,91.62855874028705%
18,6,6,91.63183374049773%
18,6,7,91.6576753526487%
18,6,8,91.67261557427491%
18,6,9,91.67751831920933%
18,6,10,91.69117080236825%
18,6,11,91.69328050700959%
18,6,12,91.7017928619185%
18,6,13,91.70406485153228%
18,6,14,91.70856074632353%
18,6,15,91.70985902610282%
18,6,16,91.70046949546912%
18,6,17,91.70621691260894%
18,6,18,91.70621691260894%
18,6,19,91.70621691260894%
18,6,20,91.70898513594679%
19,6,1,87.91317949910471%
19,6,2,90.90856190917826%
19,6,3,91.44559393128343%
19,6,4,91.519847658436%
19,6,5,91.61713898720062%
19,6,6,91.63183374049773%
19,6,7,91.6576753526487%
19,6,8,91.67261557427491%
19,6,9,91.67751831920933%
19,6,10,91.69117080236825%
19,6,11,91.69433440643748%
19,6,12,91.7017928619185%
19,6,13,91.70406485153228%
19,6,14,91.70856074632353%
19,6,15,91.70985902610282%
19,6,16,91.70046949546912%
19,6,17,91.70621691260894%
19,6,18,91.70621691260894%
19,6,19,91.70707132135809%
19,6,20,91.70983954469594%
20,6,1,87.89190290336002%
20,6,2,90.88114406880268%
20,6,3,91.43260691829643%
20,6,4,91.50937174915764%
20,6,5,91.61760195016357%
20,6,6,91.63337695037427%
20,6,7,91.65921856252524%
20,6,8,91.6736958211885%
20,6,9,91.67859856612289%
20,6,10,91.6922247017961%
20,6,11,91.69433440643748%
20,6,12,91.7017928619185%
20,6,13,91.70406485153228%
20,6,14,91.70856074632353%
20,6,15,91.70985902610282%
20,6,16,91.70046949546912%
20,6,17,91.70621691260894%
20,6,18,91.70621691260894%
20,6,19,91.70707132135809%
20,6,20,91.70983954469594%
