R,T,I,score
12,6,8,1.3333333333333335%
12,6,9,1.3157894736842104%
12,6,10,1.3157894736842104%
12,6,11,1.2987012987012987%
12,6,12,1.2987012987012987%
12,6,13,1.2987012987012987%
12,6,14,1.2987012987012987%
12,6,15,1.3157894736842104%
12,6,16,1.3157894736842104%
12,6,17,1.2987012987012987%
12,6,18,1.3157894736842104%
12,6,19,1.2987012987012987%
12,6,20,1.282051282051282%
13,6,1,0.0%
13,6,2,0.0%
13,6,3,1.3333333333333335%
13,6,4,2.7777777777777777%
13,6,5,1.4084507042253522%
13,6,6,1.3513513513513513%
13,6,7,1.3513513513513513%
13,6,8,1.3333333333333335%
13,6,9,1.3157894736842104%
13,6,10,1.3157894736842104%
13,6,11,1.2987012987012987%
13,6,12,1.2987012987012987%
13,6,13,1.2987012987012987%
13,6,14,1.2987012987012987%
13,6,15,1.3157894736842104%
13,6,16,1.3157894736842104%
13,6,17,1.2987012987012987%
13,6,18,1.3157894736842104%
13,6,19,1.2987012987012987%
13,6,20,1.282051282051282%
14,6,1,0.0%
14,6,2,0.0%
14,6,3,0.0%
14,6,4,1.3333333333333335%
14,6,5,1.3888888888888888%
14,6,6,1.3157894736842104%
14,6,7,1.3333333333333335%
14,6,8,2.631578947368421%
14,6,9,1.2987012987012987%
14,6,10,1.2987012987012987%
14,6,11,1.2987012987012987%
14,6,12,1.2987012987012987%
14,6,13,1.2987012987012987%
14,6,14,1.2987012987012987%
14,6,15,1.282051282051282%
14,6,16,1.3157894736842104%
14,6,17,1.282051282051282%
14,6,18,1.282051282051282%
14,6,19,1.2987012987012987%
14,6,20,1.282051282051282%
15,6,1,0.0%
15,6,2,0.0%
15,6,3,0.0%
15,6,4,1.3333333333333335%
15,6,5,1.36986301369863%
15,6,6,1.3157894736842104%
15,6,7,1.3333333333333335%
15,6,8,2.631578947368421%
15,6,9,1.2987012987012987%
15,6,10,1.2987012987012987%
15,6,11,1.2987012987012987%
15,6,12,1.2987012987012987%
15,6,13,1.2987012987012987%
15,6,14,1.2987012987012987%
15,6,15,1.282051282051282%
15,6,16,1.2987012987012987%
15,6,17,1.282051282051282%
15,6,18,1.2658227848101267%
15,6,19,1.282051282051282%
15,6,20,1.2658227848101267%
16,6,1,0.0%
16,6,2,0.0%
16,6,3,0.0%
16,6,4,1.2987012987012987%
16,6,5,1.3333333333333335%
16,6,6,1.2987012987012987%
16,6,7,1.3157894736842104%
16,6,8,2.564102564102564%
16,6,9,1.2987012987012987%
16,6,10,1.2987012987012987%
16,6,11,1.2987012987012987%
16,6,12,1.2987012987012987%
16,6,13,1.2987012987012987%
16,6,14,1.2987012987012987%
16,6,15,1.282051282051282%
16,6,16,1.282051282051282%
16,6,17,1.2658227848101267%
16,6,18,1.2658227848101267%
16,6,19,1.2658227848101267%
16,6,20,1.2658227848101267%
17,6,1,0.0%
17,6,2,0.0%
17,6,3,0.0%
17,6,4,1.2987012987012987%
17,6,5,1.3157894736842104%
17,6,6,1.282051282051282%
17,6,7,1.2987012987012987%
17,6,8,1.282051282051282%
17,6,9,1.2987012987012987%
17,6,10,1.2987012987012987%
17,6,11,1.282051282051282%
17,6,12,1.2987012987012987%
17,6,13,1.282051282051282%
17,6,14,1.282051282051282%
17,6,15,1.282051282051282%
17,6,16,1.282051282051282%
17,6,17,1.2658227848101267%
17,6,18,1.2658227848101267%
17,6,19,1.2658227848101267%
17,6,20,1.2658227848101267%
18,6,1,0.0%
18,6,2,0.0%
18,6,3,0.0%
18,6,4,1.282051282051282%
18,6,5,1.3157894736842104%
18,6,6,1.282051282051282%
18,6,7,1.2987012987012987%
18,6,8,1.2658227848101267%
18,6,9,1.2658227848101267%
18,6,10,1.2658227848101267%
18,6,11,1.282051282051282%
18,6,12,1.282051282051282%
18,6,13,1.282051282051282%
18,6,14,1.282051282051282%
18,6,15,1.282051282051282%
18,6,16,1.282051282051282%
18,6,17,1.2658227848101267%
18,6,18,1.2658227848101267%
18,6,19,1.2658227848101267%
18,6,20,1.2658227848101267%
19,6,1,0.0%
19,6,2,1.282051282051282%
19,6,3,1.282051282051282%
19,6,4,1.282051282051282%
19,6,5,1.2987012987012987%
19,6,6,1.282051282051282%
19,6,7,1.282051282051282%
19,6,8,1.2658227848101267%
19,6,9,1.2658227848101267%
19,6,10,1.2658227848101267%
19,6,11,1.282051282051282%
19,6,12,1.282051282051282%
19,6,13,1.282051282051282%
19,6,14,1.282051282051282%
19,6,15,1.282051282051282%
19,6,16,1.282051282051282%
