R,T,I,score
4,6,17,1.36986301369863%
4,6,18,1.36986301369863%
4,6,19,1.3333333333333335%
4,6,20,1.36986301369863%
5,6,1,1.2658227848101267%
5,6,2,1.2658227848101267%
5,6,3,3.79746835443038%
5,6,4,2.5974025974025974%
5,6,5,2.631578947368421%
5,6,6,3.8461538461538463%
5,6,7,2.666666666666667%
5,6,8,1.282051282051282%
5,6,9,2.631578947368421%
5,6,10,1.2987012987012987%
5,6,11,2.631578947368421%
5,6,12,2.666666666666667%
5,6,13,1.282051282051282%
5,6,14,2.5974025974025974%
5,6,15,1.3157894736842104%
5,6,16,1.2987012987012987%
5,6,17,2.631578947368421%
5,6,18,2.631578947368421%
5,6,19,1.3157894736842104%
5,6,20,1.3157894736842104%
6,6,1,1.2658227848101267%
6,6,2,2.5316455696202533%
6,6,3,2.5316455696202533%
6,6,4,3.8461538461538463%
6,6,5,2.5316455696202533%
6,6,6,2.564102564102564%
6,6,7,1.2658227848101267%
6,6,8,2.5316455696202533%
6,6,9,2.564102564102564%
6,6,10,3.8461538461538463%
6,6,11,1.2987012987012987%
6,6,12,1.2658227848101267%
6,6,13,2.5316455696202533%
6,6,14,1.2658227848101267%
6,6,15,1.2658227848101267%
6,6,16,1.282051282051282%
6,6,17,2.564102564102564%
6,6,18,1.282051282051282%
6,6,19,3.79746835443038%
6,6,20,1.282051282051282%
7,6,1,2.5316455696202533%
7,6,2,3.79746835443038%
7,6,3,2.5316455696202533%
7,6,4,1.2658227848101267%
7,6,5,2.5316455696202533%
7,6,6,1.2658227848101267%
7,6,7,2.5316455696202533%
7,6,8,1.2658227848101267%
7,6,9,1.2658227848101267%
7,6,10,2.5316455696202533%
7,6,11,2.5316455696202533%
7,6,12,2.5316455696202533%
7,6,13,1.2658227848101267%
7,6,14,1.2658227848101267%
7,6,15,1.2658227848101267%
7,6,16,1.2658227848101267%
7,6,17,2.5316455696202533%
7,6,18,1.2658227848101267%
7,6,19,2.5316455696202533%
7,6,20,3.79746835443038%
8,6,1,2.5316455696202533%
8,6,2,1.2658227848101267%
8,6,3,1.2658227848101267%
8,6,4,1.2658227848101267%
8,6,5,1.2658227848101267%
8,6,6,2.5316455696202533%
8,6,7,1.2658227848101267%
8,6,8,2.5316455696202533%
8,6,9,2.5316455696202533%
8,6,10,1.2658227848101267%
8,6,11,2.5316455696202533%
8,6,12,2.5316455696202533%
8,6,13,2.5316455696202533%
8,6,14,1.2658227848101267%
8,6,15,2.5316455696202533%
8,6,16,1.2658227848101267%
8,6,17,1.2658227848101267%
8,6,18,2.5316455696202533%
8,6,19,1.2658227848101267%
8,6,20,2.5316455696202533%
