R,T,I,score
11,6,20,95.93492932596213%
12,6,1,93.05471754569406%
12,6,2,95.0580946718152%
12,6,3,95.54995003005075%
12,6,4,95.65805681521181%
12,6,5,95.77606240541927%
12,6,6,95.82954859768253%
12,6,7,95.89029648747406%
12,6,8,95.80108144272403%
12,6,9,95.90737411836842%
12,6,10,95.91051670748662%
12,6,11,95.91277877290659%
12,6,12,95.91499489880692%
12,6,13,95.92241322573744%
12,6,14,95.92752601637655%
12,6,15,95.92895153095995%
12,6,16,95.9307539967868%
12,6,17,95.93492932596213%
12,6,18,95.93492932596213%
12,6,19,95.93492932596213%
12,6,20,95.93492932596213%
13,6,1,92.96510911326388%
13,6,2,95.21764608093703%
13,6,3,95.4907972702863%
13,6,4,95.67891950091585%
13,6,5,95.78321482286582%
13,6,6,95.87089870799927%
13,6,7,95.89861492363362%
13,6,8,95.81368024307862%
13,6,9,95.90963618378836%
13,6,10,95.91277877290659%
13,6,11,95.91277877290659%
13,6,12,95.91776690157893%
13,6,13,95.92458645159488%
13,6,14,95.92752601637655%
13,6,15,95.92895153095995%
13,6,16,95.9307539967868%
13,6,17,95.93492932596213%
13,6,18,95.93492932596213%
13,6,19,95.93492932596213%
13,6,20,95.93492932596213%
14,6,1,93.0250520825811%
14,6,2,95.16390018602735%
14,6,3,95.53876224521738%
14,6,4,95.70194145064814%
14,6,5,95.84499752856794%
14,6,6,95.87785541516553%
14,6,7,95.90050919966139%
14,6,8,95.89614614308397%
14,6,9,95.90963618378836%
14,6,10,95.91277877290659%
14,6,11,95.91277877290659%
14,6,12,95.91776690157893%
14,6,13,95.92458645159488%
14,6,14,95.9282767671273%
14,6,15,95.92895153095995%
14,6,16,95.9307539967868%
14,6,17,95.93492932596213%
14,6,18,95.93492932596213%
14,6,19,95.93492932596213%
14,6,20,95.93492932596213%
15,6,1,93.31208475761431%
15,6,2,95.14357919600819%
15,6,3,95.51884489964213%
15,6,4,95.7293283935999%
15,6,5,95.85299169972001%
15,6,6,95.87785541516553%
15,6,7,95.90050919966139%
15,6,8,95.90553684153114%
15,6,9,95.91038693453913%
15,6,10,95.91352952365733%
15,6,11,95.91352952365733%
15,6,12,95.91851765232967%
15,6,13,95.92533720234562%
15,6,14,95.9282767671273%
15,6,15,95.92895153095995%
15,6,16,95.9307539967868%
15,6,17,95.93492932596213%
15,6,18,95.93492932596213%
15,6,19,95.93492932596213%
15,6,20,95.93492932596213%
16,6,1,93.32263892080006%
16,6,2,95.22080085673501%
16,6,3,95.59746428426561%
16,6,4,95.81382410333725%
16,6,5,95.85976923611885%
16,6,6,95.87785541516553%
16,6,7,95.90050919966139%
16,6,8,95.90821066920496%
16,6,9,95.91038693453913%
16,6,10,95.91352952365733%
16,6,11,95.91487905132264%
16,6,12,95.91851765232967%
16,6,13,95.92533720234562%
16,6,14,95.9282767671273%
16,6,15,95.92895153095995%
16,6,16,95.9307539967868%
16,6,17,95.93492932596213%
16,6,18,95.93492932596213%
16,6,19,95.93492932596213%
16,6,20,95.93492932596213%
17,6,1,93.32263892080006%
17,6,2,95.22080085673501%
17,6,3,95.60629862385962%
17,6,4,95.7872229377117%
17,6,5,95.86144990838775%
17,6,6,95.87785541516553%
17,6,7,95.90050919966139%
17,6,8,95.90956019687027%
17,6,9,95.91173646220444%
17,6,10,95.91487905132264%
17,6,11,95.91487905132264%
17,6,12,95.91851765232967%
17,6,13,95.92533720234562%
17,6,14,95.9282767671273%
17,6,15,95.92895153095995%
17,6,16,95.9307539967868%
17,6,17,95.93492932596213%
17,6,18,95.93492932596213%
17,6,19,95.93492932596213%
17,6,20,95.93492932596213%
18,6,1,93.40597225413339%
18,6,2,95.2851168024846%
18,6,3,95.63690077025123%
18,6,4,95.7872229377117%
18,6,5,95.86446272455845%
18,6,6,95.8792778902722%
18,6,7,95.90185872732671%
18,6,8,95.90956019687027%
18,6,9,95.91173646220444%
18,6,10,95.91487905132264%
18,6,11,95.91487905132264%
18,6,12,95.91851765232967%
18,6,13,95.92533720234562%
18,6,14,95.9282767671273%
18,6,15,95.92895153095995%
18,6,16,95.9307539967868%
18,6,17,95.93492932596213%
18,6,18,95.93492932596213%
18,6,19,95.93492932596213%
18,6,20,95.93492932596213%
19,6,1,93.40597225413339%
19,6,2,95.2851168024846%
19,6,3,95.64449978969236%
19,6,4,95.79617755541243%
19,6,5,95.86588519966513%
19,6,6,95.8792778902722%
19,6,7,95.90185872732671%
19,6,8,95.90956019687027%
19,6,9,95.91173646220444%
19,6,10,95.91487905132264%
19,6,11,95.91487905132264%
19,6,12,95.91851765232967%
19,6,13,95.92533720234562%
19,6,14,95.9282767671273%
19,6,15,95.92895153095995%
19,6,16,95.9307539967868%
19,6,17,95.93492932596213%
19,6,18,95.93492932596213%
19,6,19,95.93492932596213%
19,6,20,95.93492932596213%
20,6,1,93.40597225413339%
20,6,2,95.2851168024846%
20,6,3,95.64449978969236%
20,6,4,95.79617755541243%
20,6,5,95.86588519966513%
20,6,6,95.8792778902722%
20,6,7,95.90185872732671%
20,6,8,95.90956019687027%
20,6,9,95.91173646220444%
20,6,10,95.91487905132264%
20,6,11,95.91487905132264%
20,6,12,95.91851765232967%
20,6,13,95.92533720234562%
20,6,14,95.9282767671273%
20,6,15,95.92895153095995%
20,6,16,95.9307539967868%
20,6,17,95.93492932596213%
20,6,18,95.93492932596213%
20,6,19,95.93492932596213%
20,6,20,95.93492932596213%
