R,T,I,score
11,6,12,3.0816517287879517%
11,6,13,2.902970488264607%
11,6,14,2.5985842117421067%
11,6,15,2.6282343071816756%
11,6,16,2.661036036036036%
11,6,17,2.7102958800327217%
11,6,18,2.6675400462552163%
11,6,19,2.6071889703468645%
11,6,20,2.8852901484480444%
12,6,1,1.1912550495469423%
12,6,2,1.5790232640064708%
12,6,3,4.075705894900939%
12,6,4,5.055573412078703%
12,6,5,3.4760519900631484%
12,6,6,2.486458719043857%
12,6,7,3.641897580055475%
12,6,8,2.66272924167661%
12,6,9,2.678992786887524%
12,6,10,3.0775775631038806%
12,6,11,2.682509027245869%
12,6,12,2.6676478097530723%
12,6,13,2.7054540370329843%
12,6,14,2.62568023489076%
12,6,15,2.569590035379509%
12,6,16,2.573008838798312%
12,6,17,2.5731948547738024%
12,6,18,2.6043789741158165%
12,6,19,2.5610323886639685%
12,6,20,2.5525641025641037%
13,6,1,2.4247491291542684%
13,6,2,1.5531893380265496%
13,6,3,3.362340464507646%
13,6,4,4.628828972621418%
13,6,5,2.89760415412505%
13,6,6,2.1721960112052994%
13,6,7,2.8618398473661637%
13,6,8,3.087467976941663%
13,6,9,2.6247043023358803%
13,6,10,2.6218833205675316%
13,6,11,2.540013495276654%
13,6,12,2.564304993252362%
13,6,13,2.566365758471022%
13,6,14,2.5670067841120474%
13,6,15,2.5682040339935073%
13,6,16,2.595231061020534%
13,6,17,2.5636302294197035%
13,6,18,2.591398584819638%
13,6,19,2.63663967611336%
13,6,20,2.5269230769230786%
14,6,1,2.1835239145014445%
14,6,2,1.519001949580323%
14,6,3,3.0812429549271645%
14,6,4,3.2534029593645837%
14,6,5,2.7872262437471402%
14,6,6,2.0716704269335837%
14,6,7,2.7642847156005046%
14,6,8,4.478548893022577%
14,6,9,2.5962374317637473%
14,6,10,2.5900858348226774%
14,6,11,2.5649797570850206%
14,6,12,2.564304993252362%
14,6,13,2.564304993252362%
14,6,14,2.5649797570850206%
14,6,15,2.5490890688259125%
14,6,16,2.595231061020534%
14,6,17,2.540485829959516%
14,6,18,2.546153846153849%
14,6,19,2.5597165991902844%
14,6,20,2.5269230769230786%
15,6,1,2.1215679839852677%
15,6,2,1.4750428806543356%
15,6,3,2.674905298589509%
15,6,4,2.9720650606099515%
15,6,5,2.7401076593801044%
15,6,6,2.6268465255307354%
15,6,7,2.6560975810975807%
15,6,8,4.059115694642009%
15,6,9,2.588550899077214%
15,6,10,2.584536054272897%
15,6,11,2.564304993252362%
15,6,12,2.614946018893387%
15,6,13,2.614946018893387%
15,6,14,2.564304993252362%
15,6,15,2.5372807017543875%
15,6,16,2.5663657584710218%
15,6,17,2.533333333333335%
15,6,18,2.575%
15,6,19,2.8051282051282054%
15,6,20,2.5032051282051286%
16,6,1,1.8040339986271479%
16,6,2,1.3644948609344894%
16,6,3,2.6316646606120293%
16,6,4,2.7770411073042647%
16,6,5,2.6890659166974955%
16,6,6,2.6036632207684844%
16,6,7,2.6280890636153793%
16,6,8,3.9962660028449513%
16,6,9,2.607402341612868%
16,6,10,2.5824023416128683%
16,6,11,2.666228070175438%
16,6,12,2.564304993252362%
16,6,13,2.564304993252362%
