R,T,I,score
11,6,9,1.2658227848101267%
11,6,10,1.2658227848101267%
11,6,11,1.2658227848101267%
11,6,12,1.2658227848101267%
11,6,13,1.2658227848101267%
11,6,14,1.2658227848101267%
11,6,15,1.2658227848101267%
11,6,16,1.2658227848101267%
11,6,17,1.2658227848101267%
11,6,18,1.2658227848101267%
11,6,19,1.2658227848101267%
11,6,20,1.2658227848101267%
12,6,1,1.2658227848101267%
12,6,2,1.2658227848101267%
12,6,3,1.2658227848101267%
12,6,4,1.2658227848101267%
12,6,5,1.2658227848101267%
12,6,6,1.2658227848101267%
12,6,7,1.2658227848101267%
12,6,8,1.2658227848101267%
12,6,9,1.2658227848101267%
12,6,10,1.2658227848101267%
12,6,11,1.2658227848101267%
12,6,12,1.2658227848101267%
12,6,13,1.2658227848101267%
12,6,14,1.2658227848101267%
12,6,15,1.2658227848101267%
12,6,16,1.2658227848101267%
12,6,17,1.2658227848101267%
12,6,18,1.2658227848101267%
12,6,19,1.2658227848101267%
12,6,20,1.2658227848101267%
13,6,1,1.2658227848101267%
13,6,2,1.2658227848101267%
13,6,3,1.2658227848101267%
13,6,4,1.2658227848101267%
13,6,5,1.2658227848101267%
13,6,6,1.2658227848101267%
13,6,7,1.2658227848101267%
13,6,8,1.2658227848101267%
13,6,9,1.2658227848101267%
13,6,10,1.2658227848101267%
13,6,11,1.2658227848101267%
13,6,12,1.2658227848101267%
13,6,13,1.2658227848101267%
13,6,14,1.2658227848101267%
13,6,15,1.2658227848101267%
13,6,16,1.2658227848101267%
13,6,17,1.2658227848101267%
13,6,18,1.2658227848101267%
13,6,19,1.2658227848101267%
13,6,20,1.2658227848101267%
14,6,1,1.2658227848101267%
14,6,2,1.2658227848101267%
14,6,3,1.2658227848101267%
14,6,4,1.2658227848101267%
14,6,5,1.2658227848101267%
14,6,6,1.2658227848101267%
14,6,7,1.2658227848101267%
14,6,8,1.2658227848101267%
14,6,9,1.2658227848101267%
14,6,10,1.2658227848101267%
14,6,11,1.2658227848101267%
14,6,12,1.2658227848101267%
14,6,13,1.2658227848101267%
14,6,14,1.2658227848101267%
14,6,15,1.2658227848101267%
14,6,16,1.2658227848101267%
14,6,17,1.2658227848101267%
14,6,18,1.2658227848101267%
14,6,19,1.2658227848101267%
14,6,20,1.2658227848101267%
15,6,1,1.2658227848101267%
15,6,2,1.2658227848101267%
15,6,3,1.2658227848101267%
15,6,4,1.2658227848101267%
15,6,5,1.2658227848101267%
15,6,6,1.2658227848101267%
15,6,7,1.2658227848101267%
15,6,8,1.2658227848101267%
15,6,9,1.2658227848101267%
15,6,10,1.2658227848101267%
15,6,11,1.2658227848101267%
15,6,12,1.2658227848101267%
15,6,13,1.2658227848101267%
15,6,14,1.2658227848101267%
15,6,15,1.2658227848101267%
15,6,16,1.2658227848101267%
15,6,17,1.2658227848101267%
15,6,18,1.2658227848101267%
15,6,19,1.2658227848101267%
15,6,20,1.2658227848101267%
16,6,1,1.2658227848101267%
16,6,2,1.2658227848101267%
16,6,3,1.2658227848101267%
16,6,4,1.2658227848101267%
16,6,5,1.2658227848101267%
16,6,6,1.2658227848101267%
16,6,7,1.2658227848101267%
16,6,8,1.2658227848101267%
16,6,9,1.2658227848101267%
16,6,10,1.2658227848101267%
16,6,11,1.2658227848101267%
16,6,12,1.2658227848101267%
16,6,13,1.2658227848101267%
16,6,14,1.2658227848101267%
16,6,15,1.2658227848101267%
16,6,16,1.2658227848101267%
16,6,17,1.2658227848101267%
