R,T,I,score
11,6,14,5.2651641991620375%
11,6,15,5.196901754234126%
11,6,16,5.1620479094812195%
11,6,17,5.248445957457606%
11,6,18,5.235054773235416%
11,6,19,5.42992129106044%
11,6,20,5.7052193864319145%
12,6,1,3.667595740889689%
12,6,2,3.755052112541258%
12,6,3,7.031600398051232%
12,6,4,8.142828901408656%
12,6,5,7.026694440206045%
12,6,6,5.924618206455489%
12,6,7,6.890324744355029%
12,6,8,5.914019868959705%
12,6,9,5.830852819217466%
12,6,10,5.276823629126859%
12,6,11,5.666278725658682%
12,6,12,5.523743632582856%
12,6,13,5.777142885401717%
12,6,14,5.130895758631882%
12,6,15,4.878806144069307%
12,6,16,4.983500150868574%
12,6,17,5.081711439656647%
12,6,18,5.496867256124647%
12,6,19,5.491492367281845%
12,6,20,5.362820723580221%
13,6,1,3.97671059820634%
13,6,2,3.879967400848551%
13,6,3,6.641350314440251%
13,6,4,8.113764463627605%
13,6,5,6.204605843903591%
13,6,6,5.505839422695949%
13,6,7,6.48084523600746%
13,6,8,5.9216552815255055%
13,6,9,5.604883192071371%
13,6,10,5.038471186661526%
13,6,11,5.218854507275562%
13,6,12,5.1658420005788495%
13,6,13,5.460869344027243%
13,6,14,5.016135092977203%
13,6,15,4.775441789126004%
13,6,16,4.885004682373107%
13,6,17,5.123321135892759%
13,6,18,5.525358659802368%
13,6,19,5.646032126878238%
13,6,20,5.114265481354092%
14,6,1,3.732876924823151%
14,6,2,3.8150025196717654%
14,6,3,7.146489024162698%
14,6,4,7.242245334442743%
14,6,5,5.689208867654749%
14,6,6,5.836405106311381%
14,6,7,5.740051684190118%
14,6,8,6.415166518484307%
14,6,9,5.381028985239514%
14,6,10,4.869083150135783%
14,6,11,4.996871577924214%
14,6,12,5.017865117338809%
14,6,13,5.159463869463875%
14,6,14,5.02954501638713%
14,6,15,4.829609688557062%
14,6,16,4.926754999386584%
14,6,17,4.983088197611854%
14,6,18,5.532880566025142%
14,6,19,5.462281167644266%
14,6,20,4.996754300551772%
15,6,1,3.8067206898420833%
15,6,2,3.9387597480858187%
15,6,3,6.540899212533658%
15,6,4,6.85889234712615%
15,6,5,5.320385024234605%
15,6,6,5.684033859383536%
15,6,7,5.3339316113000335%
15,6,8,6.140274848402766%
15,6,9,5.132745301166353%
15,6,10,4.867418347418347%
15,6,11,5.008807508281198%
15,6,12,5.106078132393929%
15,6,13,5.152444572970896%
15,6,14,5.008859561491147%
15,6,15,4.909664896507006%
15,6,16,4.941891441891447%
15,6,17,5.055912441988396%
15,6,18,5.390277222222595%
15,6,19,5.379390651542553%
15,6,20,4.95472249269718%
16,6,1,4.40920293235657%
16,6,2,4.03166687135062%
16,6,3,5.899952649534529%
16,6,4,6.369753477078641%
16,6,5,5.1208931222738%
16,6,6,5.338089750428196%
16,6,7,5.1629276034539195%
16,6,8,5.797256596390512%
16,6,9,5.151378270851958%
16,6,10,4.974025448235975%
16,6,11,5.1855512908144545%
16,6,12,5.0872460872460925%
16,6,13,5.095084739821588%
16,6,14,4.980933900654093%
16,6,15,4.9401105223890065%
16,6,16,4.944655555415053%
16,6,17,5.086074263289457%
16,6,18,5.055501460564755%
16,6,19,5.104309192916791%
16,6,20,4.922265498214869%
17,6,1,4.214081062387849%
17,6,2,3.9893846333439336%
17,6,3,6.2375405151231345%
17,6,4,6.03350902298271%
17,6,5,5.031531923038862%
17,6,6,5.158439166873547%
17,6,7,5.0525944515418235%
17,6,8,5.40714104904645%
17,6,9,5.057057679162947%
17,6,10,5.080812871339192%
17,6,11,5.141418153243608%
17,6,12,5.008280748787083%
17,6,13,5.044339626618112%
17,6,14,4.948928708422385%
17,6,15,5.034313787478348%
17,6,16,4.940186395882602%
17,6,17,4.942713404738725%
17,6,18,4.937358000649144%
17,6,19,4.950178513469655%
17,6,20,4.912528399870176%
18,6,1,3.9262976368679046%
18,6,2,3.816669102389627%
18,6,3,5.925786596124913%
18,6,4,5.752534198849993%
18,6,5,4.945129559206844%
18,6,6,5.042371332864343%
18,6,7,4.962166254797838%
18,6,8,5.118149006223629%
18,6,9,5.011084629339132%
18,6,10,4.990086897335404%
18,6,11,5.054696358493832%
18,6,12,4.958737465066584%
18,6,13,4.974108170310707%
18,6,14,4.926400603615798%
18,6,15,5.009920459287553%
18,6,16,5.056542613504643%
18,6,17,4.9350860110353825%
18,6,18,4.974683544303802%
18,6,19,4.914638104511526%
18,6,20,4.911392405063295%
19,6,1,3.6286040981498506%
19,6,2,4.11128935108392%
19,6,3,5.906487802670352%
19,6,4,5.865662786715425%
19,6,5,4.9209541624265185%
19,6,6,5.017519012189239%
19,6,7,4.971189758498226%
