R,T,I,score
1,6,1,11.941135712849869%
1,6,2,7.155880017739533%
1,6,3,15.912256115767683%
1,6,4,19.248803539941303%
1,6,5,19.367259129759127%
1,6,6,27.473448773448773%
1,6,7,29.07344877344878%
1,6,8,48.95833333333332%
1,6,9,56.283333333333324%
1,6,10,2.4999999999999996%
1,6,11,0.0%
1,6,12,65.79285714285713%
1,6,13,61.61785714285714%
1,6,14,63.72619047619046%
1,6,15,64.04285714285714%
1,6,16,62.876190476190466%
1,6,17,0.0%
1,6,18,14.283333333333335%
1,6,19,13.366666666666665%
1,6,20,0.0%
2,6,1,12.15596375118338%
2,6,2,10.83178427233217%
2,6,3,14.583366290818674%
2,6,4,17.297289709377345%
2,6,5,11.735868615894782%
2,6,6,14.510464937739858%
2,6,7,13.421243461184233%
2,6,8,15.625972053240973%
2,6,9,18.255235628315788%
2,6,10,13.742577636501785%
2,6,11,12.547740089288078%
2,6,12,19.91071137325007%
2,6,13,19.96379636874994%
2,6,14,12.44538096062864%
2,6,15,11.973758302241272%
2,6,16,11.8674277854928%
2,6,17,15.527442023733578%
2,6,18,19.721342645142954%
2,6,19,20.43739657576984%
2,6,20,19.421654113859987%
3,6,1,11.59575414473308%
3,6,2,13.178673224711565%
3,6,3,14.278780210827833%
3,6,4,12.32143978531514%
3,6,5,12.424900238462808%
3,6,6,12.699064783456922%
3,6,7,11.474512921395753%
3,6,8,11.70711800558919%
3,6,9,11.172273584444435%
3,6,10,12.237626342985477%
3,6,11,13.46312382529286%
3,6,12,15.25030192961616%
3,6,13,15.113492146544525%
3,6,14,16.349213977558172%
3,6,15,15.145683776691653%
3,6,16,15.442898511911029%
3,6,17,16.25825569733423%
3,6,18,16.68596979814505%
3,6,19,17.654664918379336%
3,6,20,17.991272667265378%
4,6,1,13.229101013158745%
4,6,2,15.120314073148947%
4,6,3,16.39587856997673%
4,6,4,13.719811558866182%
4,6,5,16.435618769365227%
4,6,6,13.806534296279215%
4,6,7,13.840248978524796%
4,6,8,13.482787070949087%
4,6,9,13.603096323710188%
4,6,10,13.334800029860594%
4,6,11,13.757829949315267%
4,6,12,15.381767801786655%
4,6,13,16.034735454129205%
4,6,14,15.66231497282467%
4,6,15,16.06088368746931%
4,6,16,16.96671395752785%
4,6,17,17.07064854809859%
4,6,18,15.857448839685684%
4,6,19,16.320446344015753%
4,6,20,16.94173563281826%
5,6,1,13.487731044611595%
5,6,2,15.266885333898808%
5,6,3,16.17733361695684%
5,6,4,13.882441750003196%
5,6,5,15.013860909873575%
5,6,6,13.926012131328596%
5,6,7,14.341623313950103%
5,6,8,13.216641843055903%
5,6,9,13.877111812238402%
5,6,10,13.971697500811429%
5,6,11,15.140055988315483%
5,6,12,14.614074164232395%
5,6,13,14.485731093800716%
5,6,14,14.575916910094131%
5,6,15,14.567413177539766%
5,6,16,14.50138347938981%
5,6,17,14.074387374229152%
5,6,18,13.846084875040576%
5,6,19,13.888145082765341%
5,6,20,13.879884777669597%
6,6,1,14.772197023263168%
6,6,2,16.378929911256225%
6,6,3,15.758296897357535%
6,6,4,13.344802905289262%
6,6,5,14.107127624762546%
6,6,6,13.854658685196664%
6,6,7,13.84234937003925%
6,6,8,13.71208090432774%
6,6,9,13.83628286270691%
6,6,10,13.867088607594937%
6,6,11,13.690189873417724%
6,6,12,13.450316455696203%
6,6,13,13.37278481012658%
6,6,14,13.284335443037973%
6,6,15,13.397943037974684%
6,6,16,13.311116520610193%
6,6,17,13.074922914638105%
6,6,18,13.087581142486208%
6,6,19,13.102186790003245%
6,6,20,13.062471600129827%
7,6,1,15.04895321638827%
7,6,2,15.740049151381607%
7,6,3,14.641153236614606%
7,6,4,13.141982867232711%
7,6,5,13.552342383355048%
7,6,6,13.393553229470953%
7,6,7,13.496928756897114%
7,6,8,13.362520285621557%
7,6,9,13.261765660499837%
7,6,10,13.259177215189872%
7,6,11,13.208544303797469%
7,6,12,13.057120253164555%
7,6,13,13.056962025316455%
7,6,14,13.057120253164555%
7,6,15,13.044620253164556%
7,6,16,13.044778481012656%
7,6,17,12.994303797468355%
7,6,18,12.994303797468355%
7,6,19,12.994462025316457%
7,6,20,12.981803797468356%
8,6,1,14.669037370579687%
8,6,2,15.518397088698569%
8,6,3,14.043977949099544%
8,6,4,12.448241631785939%
8,6,5,13.169433625446283%
8,6,6,13.315031645569622%
8,6,7,13.288449367088608%
8,6,8,13.326797306069457%
8,6,9,13.082436708860758%
8,6,10,13.10775316455696%
8,6,11,13.057436708860758%
8,6,12,13.006962025316454%
8,6,13,12.981645569620252%
8,6,14,13.006803797468354%
8,6,15,13.019462025316454%
8,6,16,12.994303797468355%
8,6,17,12.969145569620254%
8,6,18,12.969145569620254%
8,6,19,12.969145569620254%
8,6,20,12.969145569620254%
9,6,1,14.743720400740733%
9,6,2,14.876792395922985%
9,6,3,13.47320337889959%
9,6,4,12.679196541854765%
9,6,5,13.351947419668946%
9,6,6,13.133227848101267%
9,6,7,13.019778481012658%
9,6,8,13.006962025316454%
9,6,9,12.994303797468353%
9,6,10,13.019462025316454%
9,6,11,12.969145569620252%
9,6,12,12.956487341772151%
9,6,13,12.956487341772151%
9,6,14,12.956487341772151%
9,6,15,12.956487341772151%
9,6,16,12.956487341772151%
9,6,17,12.956487341772151%
9,6,18,12.969145569620254%
9,6,19,12.969145569620254%
9,6,20,12.969145569620254%
10,6,1,14.255948323828072%
10,6,2,14.2226923254405%
10,6,3,13.416054040895817%
10,6,4,13.129576436222003%
10,6,5,13.197784810126587%
10,6,6,13.00712025316456%
10,6,7,12.969145569620254%
10,6,8,12.994303797468353%
10,6,9,12.956487341772151%
10,6,10,12.956487341772151%
10,6,11,12.956487341772151%
10,6,12,12.956487341772151%
10,6,13,12.956487341772151%
10,6,14,12.956487341772151%
10,6,15,12.956487341772151%
10,6,16,12.956487341772151%
10,6,17,12.956487341772151%
10,6,18,12.956487341772151%
10,6,19,12.956487341772151%
10,6,20,12.956487341772151%
11,6,1,13.785692261325174%
11,6,2,13.765058977775505%
