R,T,I,score
11,6,17,10.122222222222222%
11,6,18,10.022222222222222%
11,6,19,10.033333333333333%
11,6,20,10.222222222222221%
12,6,1,11.5%
12,6,2,12.3%
12,6,3,10.5%
12,6,4,10.4%
12,6,5,10.2%
12,6,6,10.5%
12,6,7,10.4%
12,6,8,10.5%
12,6,9,10.4%
12,6,10,10.1%
12,6,11,10.1%
12,6,12,10.1%
12,6,13,10.1%
12,6,14,10.1%
12,6,15,10.1%
12,6,16,10.0%
12,6,17,9.9%
12,6,18,9.9%
12,6,19,11.3%
12,6,20,11.2%
13,6,1,10.9%
13,6,2,11.7%
13,6,3,10.2%
13,6,4,10.2%
13,6,5,10.1%
13,6,6,10.3%
13,6,7,10.9%
13,6,8,10.5%
13,6,9,10.8%
13,6,10,10.6%
13,6,11,10.7%
13,6,12,10.8%
13,6,13,10.0%
13,6,14,9.9%
13,6,15,9.9%
13,6,16,10.1%
13,6,17,10.1%
13,6,18,10.5%
13,6,19,10.5%
13,6,20,10.6%
14,6,1,10.5%
14,6,2,11.7%
14,6,3,9.9%
14,6,4,10.5%
14,6,5,10.6%
14,6,6,10.7%
14,6,7,10.7%
14,6,8,10.7%
14,6,9,10.6%
14,6,10,10.6%
14,6,11,10.6%
14,6,12,10.5%
14,6,13,10.5%
14,6,14,10.5%
14,6,15,10.2%
14,6,16,10.2%
14,6,17,10.3%
14,6,18,10.1%
14,6,19,10.1%
14,6,20,10.2%
15,6,1,10.4%
15,6,2,11.4%
15,6,3,10.3%
15,6,4,10.5%
15,6,5,10.4%
15,6,6,10.4%
15,6,7,10.3%
15,6,8,10.5%
15,6,9,10.5%
15,6,10,10.5%
15,6,11,10.3%
15,6,12,10.2%
15,6,13,10.1%
15,6,14,10.1%
15,6,15,10.1%
15,6,16,10.1%
15,6,17,10.1%
15,6,18,10.1%
15,6,19,10.1%
15,6,20,10.1%
16,6,1,10.1%
16,6,2,10.5%
16,6,3,10.3%
16,6,4,10.2%
16,6,5,10.2%
16,6,6,10.3%
16,6,7,10.3%
16,6,8,10.1%
16,6,9,10.1%
16,6,10,10.0%
16,6,11,10.0%
16,6,12,10.0%
16,6,13,10.0%
16,6,14,10.1%
16,6,15,10.0%
16,6,16,10.0%
16,6,17,10.0%
16,6,18,10.0%
16,6,19,10.0%
16,6,20,10.0%
17,6,1,10.0%
17,6,2,10.3%
17,6,3,10.2%
17,6,4,10.2%
17,6,5,10.2%
17,6,6,10.0%
17,6,7,10.0%
17,6,8,10.0%
17,6,9,10.0%
17,6,10,10.0%
17,6,11,10.0%
17,6,12,10.0%
17,6,13,10.0%
17,6,14,10.0%
17,6,15,10.0%
17,6,16,10.0%
17,6,17,10.0%
17,6,18,10.0%
17,6,19,10.0%
17,6,20,10.0%
18,6,1,10.1%
18,6,2,10.3%
18,6,3,10.1%
18,6,4,10.0%
18,6,5,10.0%
18,6,6,10.0%
18,6,7,10.0%
18,6,8,10.0%
18,6,9,10.0%
18,6,10,10.0%
18,6,11,10.0%
18,6,12,10.0%
18,6,13,10.0%
18,6,14,10.0%
18,6,15,10.0%
18,6,16,10.0%
18,6,17,10.0%
18,6,18,10.0%
18,6,19,10.0%
18,6,20,10.0%
19,6,1,10.1%
19,6,2,10.2%
19,6,3,10.0%
19,6,4,10.0%
19,6,5,10.0%
19,6,6,10.0%
19,6,7,10.0%
19,6,8,10.0%
19,6,9,10.0%
19,6,10,10.0%
19,6,11,10.0%
19,6,12,10.0%
19,6,13,10.0%
19,6,14,10.0%
19,6,15,10.0%
19,6,16,10.0%
19,6,17,10.0%
19,6,18,10.0%
19,6,19,10.0%
19,6,20,10.0%
20,6,1,10.0%
20,6,2,10.1%
20,6,3,10.0%
20,6,4,10.0%
20,6,5,10.0%
20,6,6,10.0%
20,6,7,10.0%
20,6,8,10.0%
20,6,9,10.0%
20,6,10,10.0%
20,6,11,10.0%
20,6,12,10.0%
20,6,13,10.0%
20,6,14,10.0%
20,6,15,10.0%
20,6,16,10.0%
20,6,17,10.0%
20,6,18,10.0%
20,6,19,10.0%
20,6,20,10.0%
