fileName,address,aveRSSI
move1,65:72:c4:8d:8f:64,-80.45868945868946
move1,79:7e:38:89:ab:4f,-81.43137254901961
move1,58:fd:d2:1d:88:9b,-81.41090909090909
move1,6c:d5:22:c7:f7:70,-81.60284605433377
move1,71:a1:bf:58:1a:ff,-81.41656804733728
move1,7e:d0:46:8c:24:3d,-81.43575418994413
move2,6e:7d:16:c2:ce:73,-79.55194805194805
move2,55:10:ea:b0:6b:4d,-81.77190542420028
move2,69:bc:4c:ef:eb:a4,-81.75340393343419
move2,43:ab:72:13:50:d6,-81.7503805175038
move2,7e:fd:ed:40:e6:95,-81.68680089485458
move3,4c:69:a2:4b:75:9a,-79.1867088607595
move3,6f:de:35:29:d1:ea,-80.12358276643991
move3,73:17:76:90:71:16,-79.42263610315186
move3,40:ff:26:e8:87:3b,-80.60926365795724
move3,63:2e:16:81:84:f9,-80.12915129151291
move4,64:32:0a:ae:7c:a2,-76.3974358974359
move4,74:0b:75:23:82:5f,-78.90855106888361
move4,7f:54:fd:ba:cf:19,-78.73740621650589
move4,7d:ae:67:19:51:03,-79.00884955752213
move4,4d:69:aa:69:53:1f,-75.63059701492537
move5,5a:bc:5d:6a:e6:ba,-78.30188679245283
move5,71:b8:32:1b:64:22,-80.81949058693245
move5,7f:a9:2a:14:12:f4,-80.69813829787235
move5,78:f4:32:4c:9c:80,-80.8362369337979
move5,69:f1:4f:bf:2d:67,-80.63541666666667
move5,4b:af:22:01:c4:fc,-81.02806122448979
move6,40:9e:d3:34:72:85,-80.14821763602251
move6,72:f3:00:18:24:2d,-81.73201856148492
move6,74:bd:6d:a4:14:1c,-81.59476309226933
move6,7f:0c:de:fc:20:e2,-81.76277850589777
move6,52:64:ec:9f:98:7b,-80.62325581395349
move7,61:ee:dd:c0:94:fc,-79.42134831460675
move7,7d:30:ab:4a:6e:38,-82.18032786885246
move7,6c:58:22:1b:66:87,-82.25974025974025
move7,43:7a:a0:20:46:91,-81.52491694352159
move7,7c:26:c5:db:ff:67,-80.74460431654676
move8,4b:57:97:06:cc:ea,-79.59151515151515
move8,6d:54:19:ec:27:60,-80.48514851485149
move8,5b:a9:c7:19:a8:70,-80.40102389078498
move8,5f:42:f7:92:20:47,-80.48546144121366
move8,47:73:bb:6b:87:fe,-80.29032258064517
move9,4c:2d:b8:5f:8c:65,-80.3641975308642
move9,4e:d9:80:cf:b2:ca,-80.51965065502183
move9,75:64:5a:1f:da:0a,-81.35497237569061
move9,41:09:3a:35:83:01,-81.42656449553002
move9,62:bd:85:84:12:60,-81.21546961325967
move10,47:be:45:ed:ae:ee,-79.59950556242275
move10,60:cb:08:fe:06:1b,-80.10666666666667
move10,7d:99:72:97:93:f9,-80.1500765696784
move10,7f:9f:71:ad:34:52,-80.48693834900732
move10,6f:97:52:e2:72:d0,-80.30434782608695
move11,55:a9:50:16:e7:9c,-78.78134110787173
move11,70:39:88:34:50:d5,-79.1687074829932
move11,7d:6e:ff:ee:45:52,-79.5121412803532
move11,44:e5:08:5f:71:77,-79.30847457627118
move11,7f:f6:89:df:26:d5,-79.21777777777778
move12,73:d9:60:9b:43:7f,-78.66440217391305
move12,7e:2a:7c:a0:05:4e,-80.52466907340553
move12,6d:64:83:16:cf:d8,-80.32665094339623
move12,6e:ea:4f:c9:3f:64,-80.38768529076397
move12,75:07:f3:55:4a:ba,-80.25879917184265
move13,40:00:2a:d4:81:95,-78.46153846153847
move13,7d:4a:ad:f4:b1:19,-78.87411764705882
move13,42:b5:96:d5:0d:76,-78.84954604409857
move13,66:fe:78:47:45:f9,-78.78230500582072
move13,5c:6b:c6:3b:e2:e8,-79.1
move14,71:db:49:19:c5:a4,-76.85286458333333
move14,56:96:56:5f:46:90,-77.29562982005142
move14,64:31:d2:d9:10:e3,-77.37405731523378
move14,7d:00:82:53:61:25,-77.16399506781751
move14,70:08:e6:e0:5f:50,-77.64585987261147
move15,55:f3:1b:86:8c:1e,-77.98711340206185
move15,73:b4:28:47:8e:7d,-80.24872448979592
move15,5d:0c:96:b8:21:0e,-80.4316069057105
move15,77:81:73:0b:c6:16,-80.16137566137566
move15,52:14:ea:df:22:de,-78.63489208633094
move16,46:56:e7:66:90:01,-74.6656346749226
move16,44:e7:b6:9d:c5:20,-78.16515151515152
move16,5b:d1:64:18:6d:3d,-78.28589909443726
move16,39:a0:8a:34:ca:27,-72.79268292682927
move17,0f:c3:bc:75:5c:f0,-80.07627118644068
move17,21:87:69:4c:ae:f3,-80.91049085659287
move17,3c:94:9d:65:68:1a,-82.49193548387096
move18,42:13:9d:1c:14:1c,-76.620029455081
move18,57:46:37:52:09:d0,-77.70687711386697
move18,7a:67:a2:06:08:a2,-76.97368421052632
move18,6a:19:dc:ac:7d:f3,-77.54018445322794
move18,7d:02:e1:0a:64:e9,-77.34328358208955
move19,6b:7a:c9:80:20:53,-79.00329489291597
move19,79:a8:35:21:2b:87,-80.201189296333
move19,44:03:ac:c0:e3:54,-80.26162790697674
move19,78:69:2e:de:ae:54,-80.29327453142227
move19,5c:df:5a:a3:60:64,-79.59240069084629
move20,6e:97:ad:9a:46:28,-79.5397489539749
move20,53:8f:77:a6:56:b2,-80.11489361702128
move20,6f:c0:e3:59:36:82,-80.3050279329609
move20,53:29:e6:e3:65:69,-80.16956521739131
move20,4f:1b:09:57:d0:d2,-79.55397727272727
