,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,23.75%,23.65%,24.2%,24.1%,24.05%,24.0%,23.65%,23.45%,23.25%,23.2%,23.05%,23.0%,23.0%,22.85%,22.75%,22.6%,22.55%,22.55%,22.55%,22.55%
11,23.75%,23.65%,24.2%,24.1%,24.05%,24.05%,23.7%,23.45%,23.25%,23.2%,23.1%,23.0%,23.0%,22.85%,22.8%,22.6%,22.55%,22.55%,22.55%,22.55%
12,23.75%,23.7%,24.25%,24.1%,24.05%,24.05%,23.7%,23.5%,23.25%,23.2%,23.1%,23.05%,23.0%,22.85%,22.8%,22.65%,22.55%,22.55%,22.55%,22.55%
13,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.5%,23.25%,23.2%,23.1%,23.05%,23.05%,22.85%,22.8%,22.65%,22.6%,22.6%,22.55%,22.55%
14,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.5%,23.3%,23.2%,23.1%,23.05%,23.05%,22.9%,22.8%,22.65%,22.6%,22.6%,22.6%,22.55%
15,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.55%,23.3%,23.25%,23.1%,23.05%,23.05%,22.9%,22.85%,22.65%,22.6%,22.6%,22.6%,22.6%
16,23.75%,23.7%,24.3%,24.15%,24.05%,24.05%,23.75%,23.55%,23.35%,23.25%,23.1%,23.05%,23.05%,22.9%,22.85%,22.7%,22.6%,22.6%,22.6%,22.6%
17,23.75%,23.7%,24.3%,24.2%,24.05%,24.05%,23.75%,23.55%,23.35%,23.25%,23.15%,23.05%,23.05%,22.9%,22.85%,22.7%,22.65%,22.6%,22.6%,22.6%
18,23.75%,23.7%,24.35%,24.2%,24.05%,24.05%,23.75%,23.55%,23.35%,23.3%,23.15%,23.1%,23.05%,22.9%,22.85%,22.7%,22.65%,22.65%,22.65%,22.6%
19,23.75%,23.7%,24.35%,24.2%,24.05%,24.05%,23.75%,23.55%,23.35%,23.3%,23.15%,23.1%,23.05%,22.9%,22.85%,22.7%,22.65%,22.65%,22.65%,22.65%
20,23.75%,23.7%,24.35%,24.2%,24.1%,24.05%,23.75%,23.55%,23.35%,23.3%,23.2%,23.1%,23.1%,22.9%,22.85%,22.7%,22.65%,22.65%,22.65%,null%
