['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '1']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '2']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '3']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '4']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '5']
0.35
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '6']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '7']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '8']
0.8
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '9']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '10']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '11']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '12']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '13']
0.4
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '14']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '15']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '16']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '17']
0.4
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '18']
0.45
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '19']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '20']
0.4
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '21']
0.35
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '22']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '23']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '24']
0.35
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '25']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '26']
0.5
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '27']
0.5
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '28']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '29']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '30']
0.5
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '31']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '32']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '33']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '34']
0.9
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '35']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '36']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '37']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '38']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '39']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '40']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '41']
0.95
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '42']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '43']
0.4
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '44']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '45']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '46']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '47']
0.45
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '48']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '49']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '50']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '51']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '52']
0.5
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '53']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '54']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '55']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '56']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '57']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '58']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '59']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '60']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '61']
0.8
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '62']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '63']
0.9
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '64']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '65']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '66']
0.45
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '67']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '68']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '69']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '70']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '71']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '72']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '73']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '74']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '75']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '76']
0.8
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '77']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '78']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '79']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '80']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '81']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '82']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '83']
0.9
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '84']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '85']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '86']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '87']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '88']
0.75
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '89']
0.55
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '90']
0.5
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '91']
0.7
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '92']
0.8
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '93']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '94']
0.85
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '95']
0.6
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '96']
0.65
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '97']
0.8
['identifyMethod.py', 'combine_svr', '0.75', '1', '20', '98']
0.7
