['identifyMethod.py', 'svr', '20', '1']
0.65
['identifyMethod.py', 'svr', '20', '2']
0.55
['identifyMethod.py', 'svr', '20', '3']
0.8
['identifyMethod.py', 'svr', '20', '4']
0.6
['identifyMethod.py', 'svr', '20', '5']
0.3
['identifyMethod.py', 'svr', '20', '6']
0.65
['identifyMethod.py', 'svr', '20', '7']
0.6
['identifyMethod.py', 'svr', '20', '8']
0.8
['identifyMethod.py', 'svr', '20', '9']
0.65
['identifyMethod.py', 'svr', '20', '10']
0.75
['identifyMethod.py', 'svr', '20', '11']
0.7
['identifyMethod.py', 'svr', '20', '12']
0.6
['identifyMethod.py', 'svr', '20', '13']
0.55
['identifyMethod.py', 'svr', '20', '14']
0.6
['identifyMethod.py', 'svr', '20', '15']
0.65
['identifyMethod.py', 'svr', '20', '16']
0.65
['identifyMethod.py', 'svr', '20', '17']
0.35
['identifyMethod.py', 'svr', '20', '18']
0.5
['identifyMethod.py', 'svr', '20', '19']
0.8
['identifyMethod.py', 'svr', '20', '20']
0.45
['identifyMethod.py', 'svr', '20', '21']
0.4
['identifyMethod.py', 'svr', '20', '22']
0.55
['identifyMethod.py', 'svr', '20', '23']
0.85
['identifyMethod.py', 'svr', '20', '24']
0.35
['identifyMethod.py', 'svr', '20', '25']
0.75
['identifyMethod.py', 'svr', '20', '26']
0.45
['identifyMethod.py', 'svr', '20', '27']
0.6
['identifyMethod.py', 'svr', '20', '28']
0.7
['identifyMethod.py', 'svr', '20', '29']
0.75
['identifyMethod.py', 'svr', '20', '30']
0.55
['identifyMethod.py', 'svr', '20', '31']
0.7
['identifyMethod.py', 'svr', '20', '32']
0.6
['identifyMethod.py', 'svr', '20', '33']
0.6
['identifyMethod.py', 'svr', '20', '34']
0.9
['identifyMethod.py', 'svr', '20', '35']
0.7
['identifyMethod.py', 'svr', '20', '36']
0.55
['identifyMethod.py', 'svr', '20', '37']
0.55
['identifyMethod.py', 'svr', '20', '38']
0.55
['identifyMethod.py', 'svr', '20', '39']
0.55
['identifyMethod.py', 'svr', '20', '40']
0.5
